period,cost,cycle_id,entry_origin,locked_anchor_date,holding_closes,maximum_weighted_price_error
earlier_diagnostic,STRESS,12,2018-09-13,2018-09-12,2,0.0
earlier_diagnostic,STRESS,13,2018-10-12,2018-10-11,1,2.220446049250313e-16
earlier_diagnostic,STRESS,14,2018-10-19,2018-10-18,5,0.0
earlier_diagnostic,STRESS,15,2018-11-01,2018-10-18,6,0.0
earlier_diagnostic,STRESS,16,2018-12-03,2018-10-18,3,0.0
earlier_diagnostic,STRESS,17,2018-12-13,2018-10-18,1,4.440892098500626e-16
earlier_diagnostic,STRESS,18,2018-12-24,2018-12-21,1,2.220446049250313e-16
earlier_diagnostic,STRESS,19,2019-01-04,2019-01-02,60,2.220446049250313e-16
earlier_diagnostic,STRESS,20,2019-05-10,2019-01-02,1,0.0
earlier_diagnostic,STRESS,21,2019-06-11,2019-01-02,41,4.440892098500626e-16
