member,bytes,sha256
00_README_FIRST.md,942,0005548f13da4d9d79a17062e054e6f0348722aeeaab321a6adbc767288f1d12
01_差值与平方根60_说明及对照.md,7076,e4d9079a72c4af881a07b8a3edcc894ecd1bbbcabc05dfa590c1ba2a11e8c504
02_GPT复核提示词.txt,684,4dc8b5297d6aac2a5acea9e8e806a9eec209571b4bcdc53675c2e83f881170e4
03_用户请求.txt,185,6c388ac06afd652743532207beb37cfb6f0cf5570ad95dc1f4d352eee307c16b
510300_D60每日手算.xlsx,192496,f8b09656968be52694626fb65026e8225abd8ec16ec9535573a613c4ae18abbf
Excel公式_可复制.txt,2281,3dd875aaf102209ecf24a57a6efe7d7f4e0475262ae2afb04835b3105c33aa90
verify_manual_csv.py,2434,c919c33c1e52c465064a4b049c27e719875631f84bde455cce98265b0ad9dbca
数据/D60每日数据.csv,583453,a3a6ab093c05d99c978e2065451eab9c269710403066d48d92e7377cb4ba886b
数据/全部对照因子.csv,570674,a1af1a74361df80de7e26bc48b83af5ca68aa7aca400710ba4af6075917731c4
数据/公式变化_门槛日期对照.csv,2155,0234df9da0631495103abb638e2d04dc739c81c5e27d95b3c00d432aba733dd1
数据/完整策略当前研究决定.csv,765,55dbeba550530d1008f3d3620ea6f78cc7984691ac658c0b1b7fd183baf5d896
数据/工作簿输入.json,148301,6ed9d9c5186a9858ce20e4ba0a5324bf05cb815c40922224476335d4ab82b7cc
源码与输入口径/build_manual_workbook.mjs,14299,a4dee2e55e6f02f563ec6533971f4dc45d6f4ee705194536fe427845cea98b5a
源码与输入口径/config/510300_new_daily_input_adapter_runtime_v1.json,1326,9a6310a0aee7615af3d7888ace52e37320b0d4f7ecf220673c12720c07bf2221
源码与输入口径/config/510300_research_authority_v6.json,4410,8bd7b6c0160d5e2f942627789cb720bdcce556ce03215e2582c91b312bdc5651
源码与输入口径/data/reference/510300_dividends.csv,2021,a96afe27e62bdd7d60485c2ebb44f2ff7e5010dca1f5cae5dc2441e53b7ae06d
源码与输入口径/research/daily_manual_signal_v1.py,11956,0238821245e9f7faa8950989612821534fd148a06f718f5bdc8d554209ddcf92
源码与输入口径/research/intraday_overnight_increment_v1.py,47324,66fb37dee606c4392ceb652c37ca83b367d76b486d488eccfe0d1a6e50d62884
源码与输入口径/research/simple_session_divergence_v1.py,7859,724beaf78514f5b351ce303a75a2b922e6fdb49d3a44725df38d5d71ba39d77d
源码与输入口径/verify_excel_native.ps1,7095,1ec3ccd4ae3e894c415e8236e264446e5ec55559658e1998e39994f9deda02fc
证据/CSV离线复算回执.json,213,e3e5c4cf44b858716235e35d5bd73d5e85e5c4f423a12149f90546b5d557c4ca
证据/Excel原生重算核验.json,621,3361e448057cc7d5d6b2e9d1faa8acb993af65e572b3acfe2703b8a2a7f76670
证据/公式对照预定方案.json,750,e6670c089d2a2fc521e8f7feb07f11a5526ba79bc59c62b5822e2c6b4a45fed7
证据/公式计算核对.json,729,5578bb442e6c2ca41b47ca8829c9065fc7455e70b76fafd20dd085edc7ed4860
证据/公式错误扫描.json,60,acc0111e19cf44d2753fc9ecd164bf1b27fbd65597463a25cf48bd1c65e90146
证据/每日任务设置回执.json,515,1801f2dd38d6d0fc36b195acf873fcc84f41ae95d4c3f08838c87a6d757b60e8
证据/每日导出回执.json,2564,b461092b0b03aac2cb01aa6306bd66d7eb6c2263ed25cedb3bbfd572ed84a27a
证据/诊断结果.json,7146,7bce9127204610a71491ac02c0b982aca4ced925d36ff9853d037f5dc13d10ad
证据/首次导出失败及修复.json,586,fd772d16cff478294e7e30bb5084b2e8a455dccea4df7df13317b41b51da1276
