period,same_cycle_comparable_predictions,maximum_feature_difference,maximum_prediction_difference
evaluation,313,2.220446049250313e-16,1.491862189340054e-16
earlier_diagnostic,68,4.440892098500626e-16,1.457167719820518e-16
