fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2017-03-01,10,438,1.8382513559665086e-16,3.5561831257524545e-17
2017-04-05,10,438,1.8382513559665086e-16,3.5561831257524545e-17
2017-05-02,10,438,1.8382513559665086e-16,3.5561831257524545e-17
2017-06-01,11,497,1.9081958235744878e-16,7.594158591903155e-17
2017-07-03,11,497,1.9081958235744878e-16,7.594158591903155e-17
2017-08-01,11,497,1.9081958235744878e-16,7.594158591903155e-17
2017-09-01,12,556,6.175615574477433e-16,8.112542755622787e-17
2017-10-09,12,556,6.175615574477433e-16,8.112542755622787e-17
2017-11-01,12,556,6.175615574477433e-16,8.112542755622787e-17
2017-12-01,13,615,7.91033905045424e-16,6.14742631799281e-17
2018-01-02,13,615,7.91033905045424e-16,6.14742631799281e-17
2018-02-01,13,615,7.91033905045424e-16,6.14742631799281e-17
2018-03-01,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-04-02,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-05-02,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-06-01,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-07-02,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-08-01,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-09-03,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-10-08,14,671,4.209414934674971e-16,9.147955830346444e-17
2018-11-01,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2018-12-03,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-01-02,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-02-01,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-03-01,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-04-01,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-05-06,15,678,3.3610267347050637e-16,1.0077659193252764e-16
2019-06-03,16,721,3.7925391993542945e-16,9.540979117872439e-17
2019-07-01,16,721,3.7925391993542945e-16,9.540979117872439e-17
2019-08-01,17,759,2.8015784137025435e-16,9.73613550891983e-17
2019-09-02,17,759,2.8015784137025435e-16,9.73613550891983e-17
2019-10-08,17,759,2.8015784137025435e-16,9.73613550891983e-17
2019-11-01,17,759,2.8015784137025435e-16,9.73613550891983e-17
2019-12-02,17,759,2.8015784137025435e-16,9.73613550891983e-17
2020-01-02,17,759,2.8015784137025435e-16,9.73613550891983e-17
2020-02-03,17,759,2.8015784137025435e-16,9.73613550891983e-17
2020-03-02,17,759,2.8015784137025435e-16,9.73613550891983e-17
2020-04-01,18,787,5.403663627667754e-16,8.679038390746463e-17
2020-05-06,18,787,5.403663627667754e-16,8.679038390746463e-17
2020-06-01,19,829,7.840950111415168e-16,9.584347204771859e-17
2020-07-01,19,829,7.840950111415168e-16,9.584347204771859e-17
2020-08-03,19,829,7.840950111415168e-16,9.584347204771859e-17
2020-09-01,19,829,7.840950111415168e-16,9.584347204771859e-17
2020-10-09,20,888,5.724587470723463e-16,6.949735925632083e-17
2020-11-02,20,888,5.724587470723463e-16,6.949735925632083e-17
2020-12-01,20,888,5.724587470723463e-16,6.949735925632083e-17
2021-01-04,20,888,5.724587470723463e-16,6.949735925632083e-17
2021-02-01,20,888,5.724587470723463e-16,6.949735925632083e-17
2021-03-01,20,862,6.916396708828154e-16,1.0408340855860843e-16
2021-04-01,20,862,6.916396708828154e-16,1.0408340855860843e-16
2021-05-06,20,862,6.916396708828154e-16,1.0408340855860843e-16
2021-06-01,20,862,6.916396708828154e-16,1.0408340855860843e-16
2021-07-01,20,862,6.916396708828154e-16,1.0408340855860843e-16
2021-08-02,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2021-09-01,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2021-10-08,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2021-11-01,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2021-12-01,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2022-01-04,20,844,1.1102230246251565e-16,3.7621815385247004e-17
2022-02-07,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-03-01,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-04-01,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-05-05,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-06-01,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-07-01,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-08-01,20,892,2.888314587501384e-16,6.08237418764368e-17
2022-09-01,20,890,2.5326962749261384e-16,2.7972416050126014e-17
2022-10-10,20,885,3.5648567431323386e-16,3.187554387107383e-17
2022-11-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2022-12-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-01-03,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-02-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-03-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-04-03,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-05-04,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-06-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-07-03,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-08-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-09-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-10-09,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-11-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2023-12-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-01-02,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-02-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-03-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-04-01,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-05-06,20,885,3.5648567431323386e-16,3.187554387107383e-17
2024-06-03,20,885,2.96637714392034e-16,2.970713952610282e-17
2024-07-01,20,885,2.96637714392034e-16,2.970713952610282e-17
2024-08-01,20,915,2.4931228956304174e-16,2.1575623232461538e-17
2024-09-02,20,915,2.4931228956304174e-16,2.1575623232461538e-17
2024-10-08,20,896,3.859759734048396e-16,2.2144829373016428e-17
2024-11-01,20,842,2.437286483747414e-16,4.977843224424072e-17
2024-12-02,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-01-02,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-02-05,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-03-03,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-04-01,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-05-06,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-06-03,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-07-01,20,842,2.437286483747414e-16,4.977843224424072e-17
2025-08-01,20,842,4.657732532997727e-16,3.119791751327039e-17
2025-09-01,20,842,4.657732532997727e-16,3.119791751327039e-17
2025-10-09,20,842,4.657732532997727e-16,3.119791751327039e-17
2025-11-03,20,842,4.36282954208167e-16,2.190088388420719e-17
2025-12-01,20,842,4.36282954208167e-16,2.190088388420719e-17
2026-01-05,20,842,4.36282954208167e-16,2.190088388420719e-17
2026-02-02,20,842,3.3176586478056436e-16,2.927345865710862e-17
2026-03-02,20,795,2.1033522146218786e-16,3.644274552266902e-17
2026-04-01,20,795,2.1033522146218786e-16,3.644274552266902e-17
2026-05-06,20,795,2.1033522146218786e-16,3.644274552266902e-17
2026-06-01,20,795,2.1033522146218786e-16,3.644274552266902e-17
2026-07-01,20,795,2.1033522146218786e-16,3.644274552266902e-17
2026-08-03,20,790,1.8214596497756474e-16,3.8733122612044646e-17
