period,cost,comparable_predictions,changed_prediction_signs,changed_learned_exit_requests,maximum_prediction_difference
evaluation,BASE,313,0,0,0.000130379497955177
evaluation,STRESS,313,0,0,0.0007034078776470484
earlier_diagnostic,BASE,68,0,0,0.0001131936852214882
earlier_diagnostic,STRESS,68,1,0,0.0004651891544325999
