date,open,high,low,close,volume,symbol,source,volume_unit
2005-04-08,984.665,1003.699,979.529,1003.445,1476252600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-11,1003.879,1008.735,992.773,995.421,1593606600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-12,993.711,993.711,978.204,978.697,1022619300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-13,987.95,1006.499,987.95,1000.9,1607168700,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-14,1004.64,1006.416,985.578,986.975,1294571000,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-15,982.613,982.613,971.93,974.082,1040895500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-18,970.907,970.907,958.649,963.772,859840000,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-19,962.916,968.867,957.91,965.886,921262300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-20,964.151,964.151,946.197,950.867,885070500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-21,948.861,955.553,938.595,943.981,994614500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-22,942.908,947.909,934.957,939.101,1069188400,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-25,935.993,935.993,920.162,930.07,1147047800,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-26,928.428,939.696,924.655,937.083,1169047100,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-27,938.57,938.91,925.896,926.604,1078061100,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-28,923.529,945.504,914.829,942.073,1434348600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-04-29,940.806,942.453,929.81,932.395,1123541900,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-09,934.65,937.39,909.174,909.174,852911500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-10,905.543,913.388,892.313,913.076,1049433100,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-11,911.838,917.223,900.438,901.851,904204700,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-12,899.968,900.063,883.511,885.82,1022872000,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-13,883.505,898.505,875.576,887.543,1124490600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-16,885.389,885.389,869.334,875.271,822428800,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-17,873.077,888.281,868.212,881.462,877227300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-18,881.141,890.403,871.821,883.196,787861000,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-19,882.842,888.016,871.289,884.171,814958300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-20,883.513,891.02,879.18,882.763,722667600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-23,880.281,880.281,862.098,863.341,727979500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-24,861.195,871.767,855.587,868.456,920692900,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-25,867.658,876.305,861.659,868.451,723855600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-26,867.758,872.835,854.956,857.331,662278600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-27,855.595,864.963,848.398,849.508,774998300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-30,847.634,858.462,842.102,855.612,697158300,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-05-31,856.561,863.198,853.291,855.946,704782100,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-01,855.206,857.657,836.04,837.532,790230200,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-02,835.467,835.493,812.989,818.379,950865700,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-03,816.546,823.86,807.965,818.033,793605600,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-06,816.731,839.15,807.784,838.997,900918500,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-07,841.579,858.092,835.179,837.282,1306706800,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-08,848.536,908.829,844.473,905.773,3290783900,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-09,907.569,925.365,895.036,912.604,3314184000,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-10,911.941,911.941,889.103,894.556,2239150200,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
2005-06-13,894.997,900.18,877.69,892.959,1562800200,000300.SH_PRICE_INDEX,SINA_AKSHARE_STOCK_ZH_INDEX_DAILY,source_defined_not_admitted_for_volume_factors
