period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,bullish_candle_origins,flat_candle_origins,bearish_candle_origins,parent_positive_vetoed
evaluation,HEIKIN_PRICE_STATE,BASE,1604,815,789,0,815,0,789,
evaluation,HEIKIN_CONFIRMED_REFERENCE,BASE,1604,181,1423,0,815,0,789,131.0
evaluation,HEIKIN_PRICE_STATE,STRESS,1604,815,789,0,815,0,789,
evaluation,HEIKIN_CONFIRMED_REFERENCE,STRESS,1604,181,1423,0,815,0,789,131.0
earlier_diagnostic,HEIKIN_PRICE_STATE,BASE,1219,675,544,0,675,0,544,
earlier_diagnostic,HEIKIN_CONFIRMED_REFERENCE,BASE,1219,193,1026,0,675,0,544,109.0
earlier_diagnostic,HEIKIN_PRICE_STATE,STRESS,1219,675,544,0,675,0,544,
earlier_diagnostic,HEIKIN_CONFIRMED_REFERENCE,STRESS,1219,197,1022,0,675,0,544,111.0
