period,cost,model,decision_origins,independent_linear_filter_matches,independent_economic_price_matches,terminal_close_used_for_decisions
evaluation,BASE,HEIKIN_PRICE_STATE,1604,True,True,False
evaluation,STRESS,HEIKIN_PRICE_STATE,1604,True,True,False
earlier_diagnostic,BASE,HEIKIN_PRICE_STATE,1219,True,True,False
earlier_diagnostic,STRESS,HEIKIN_PRICE_STATE,1219,True,True,False
evaluation,BASE,HEIKIN_CONFIRMED_REFERENCE,1604,True,True,False
evaluation,STRESS,HEIKIN_CONFIRMED_REFERENCE,1604,True,True,False
earlier_diagnostic,BASE,HEIKIN_CONFIRMED_REFERENCE,1219,True,True,False
earlier_diagnostic,STRESS,HEIKIN_CONFIRMED_REFERENCE,1219,True,True,False
