report_month,category,same_scope,previous_month_shares_difference_100m,previous_month_nav_difference_100m,source_url,previous_source_url
2020-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430364952995.pdf
2020-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf
2020-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf
2020-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf
2020-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf
2020-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf
2020-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430377354153.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf
2020-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430378801721.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430377354153.pdf
2020-11,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430380938938.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430378801721.pdf
2020-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430382494680.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430380938938.pdf
2021-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430384211423.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430382494680.pdf
2021-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430385828064.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430384211423.pdf
2021-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430387654435.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430385828064.pdf
2021-04,混合基金,True,53.93000000000029,53.94000000000233,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430389084449.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430387654435.pdf
2021-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430391050351.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430389084449.pdf
2021-06,混合基金,True,600.6500000000015,1292.1800000000003,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430392535106.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430391050351.pdf
2021-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430393924259.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430392535106.pdf
2021-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430395585764.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430393924259.pdf
2021-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430397113673.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430395585764.pdf
2021-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430398613670.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430397113673.pdf
2021-11,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430399959425.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430398613670.pdf
2021-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430401434458.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430399959425.pdf
2022-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430742875479.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430401434458.pdf
2022-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430859647437.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430742875479.pdf
2022-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126431889557952.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430859647437.pdf
2022-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432006145912.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126431889557952.pdf
2022-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432113077400.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432006145912.pdf
2022-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432212878421.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432113077400.pdf
2022-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432319790203.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432212878421.pdf
2022-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432449664036.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432319790203.pdf
2022-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432543986409.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432449664036.pdf
2022-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432673628295.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432543986409.pdf
2022-11,混合基金,True,0.0,-0.01999999999679858,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432774845687.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432673628295.pdf
2022-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432900698784.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432774845687.pdf
