period,cost,calendar_rows,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,3456,1604,352,1252,0,0,0
evaluation,STRESS,3456,1604,352,1252,0,0,0
earlier_diagnostic,BASE,1852,1219,339,880,0,0,0
earlier_diagnostic,STRESS,1852,1219,339,880,0,0,0
