period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
evaluation,BASE,1.1136205013855784,20,341,68899.50000000001,4348.293019999949,64551.20698000013
evaluation,STRESS,1.0532395592480046,20,341,68446.70000000001,8000.982720000038,60445.71727999998
earlier_diagnostic,BASE,0.7953223204246888,16,339,56453.09999999999,2881.8353799999963,53571.26462000009
earlier_diagnostic,STRESS,0.7884304862205913,16,339,58786.3,5539.5298399999965,53246.770159999985
