period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,341,30,39,0,0,0.09263852058682248
evaluation,STRESS,341,30,39,0,0,0.09266346194336268
earlier_diagnostic,BASE,339,24,25,0,0,0.12692697746861442
earlier_diagnostic,STRESS,339,24,25,0,0,0.12884565476720236
