ts_code,year,returned_rows,unique_reports,pagination_complete
000001.SZ,2017,25,25,True
000001.SZ,2015,0,0,True
000001.SZ,2016,0,0,True
000001.SZ,2018,21,21,True
000001.SZ,2019,29,29,True
000001.SZ,2020,44,44,True
000001.SZ,2021,31,31,True
000001.SZ,2022,25,25,True
000001.SZ,2023,27,27,True
000001.SZ,2024,14,14,True
000001.SZ,2026,2,2,True
000001.SZ,2025,7,7,True
000776.SZ,2015,0,0,True
000776.SZ,2016,0,0,True
000776.SZ,2017,12,12,True
000776.SZ,2018,15,15,True
000776.SZ,2019,9,9,True
000776.SZ,2020,5,5,True
000776.SZ,2022,9,9,True
000776.SZ,2021,6,6,True
000776.SZ,2023,16,16,True
000776.SZ,2024,6,6,True
000776.SZ,2026,10,10,True
000776.SZ,2025,9,9,True
600030.SH,2017,11,11,True
600030.SH,2016,0,0,True
600030.SH,2018,36,36,True
600030.SH,2019,42,42,True
600030.SH,2021,25,25,True
600030.SH,2020,28,28,True
600030.SH,2022,25,25,True
600030.SH,2023,20,20,True
600030.SH,2024,14,14,True
600030.SH,2025,14,14,True
600036.SH,2015,0,0,True
600030.SH,2026,15,15,True
600036.SH,2016,0,0,True
600036.SH,2018,23,23,True
600036.SH,2019,29,29,True
600036.SH,2017,23,23,True
600036.SH,2021,32,32,True
600036.SH,2020,30,30,True
600036.SH,2024,17,17,True
600036.SH,2022,24,24,True
600036.SH,2023,27,27,True
600036.SH,2026,9,9,True
600036.SH,2025,14,14,True
600999.SH,2016,0,0,True
600999.SH,2017,11,11,True
600999.SH,2015,0,0,True
600999.SH,2018,8,8,True
600999.SH,2019,11,11,True
600999.SH,2020,11,11,True
600999.SH,2021,6,6,True
600999.SH,2022,6,6,True
600999.SH,2023,7,7,True
600999.SH,2024,4,4,True
600999.SH,2025,10,10,True
601211.SH,2015,0,0,True
601211.SH,2016,0,0,True
600999.SH,2026,7,7,True
601211.SH,2017,7,7,True
601211.SH,2018,5,5,True
601211.SH,2020,15,15,True
601211.SH,2019,20,20,True
601211.SH,2021,9,9,True
601211.SH,2022,5,5,True
601211.SH,2023,3,3,True
601211.SH,2024,4,4,True
601211.SH,2025,13,13,True
601211.SH,2026,12,12,True
601288.SH,2015,0,0,True
601288.SH,2016,0,0,True
601288.SH,2017,5,5,True
601288.SH,2018,16,16,True
601288.SH,2020,5,5,True
601288.SH,2021,4,4,True
601288.SH,2022,9,9,True
601288.SH,2023,15,15,True
601288.SH,2024,10,10,True
601288.SH,2019,8,8,True
601318.SH,2015,0,0,True
601288.SH,2026,1,1,True
601288.SH,2025,9,9,True
601318.SH,2016,0,0,True
601318.SH,2017,22,22,True
601318.SH,2018,21,21,True
601318.SH,2020,17,17,True
601318.SH,2019,24,24,True
601318.SH,2021,22,22,True
601318.SH,2022,26,26,True
601318.SH,2023,20,20,True
601318.SH,2024,16,16,True
601318.SH,2026,15,15,True
601318.SH,2025,15,15,True
601328.SH,2015,0,0,True
601328.SH,2016,0,0,True
601328.SH,2017,5,5,True
601328.SH,2019,3,3,True
601328.SH,2018,10,10,True
601328.SH,2020,2,2,True
601328.SH,2022,4,4,True
601328.SH,2021,0,0,True
601328.SH,2023,5,5,True
601328.SH,2024,4,4,True
601328.SH,2025,2,2,True
601328.SH,2026,1,1,True
601601.SH,2015,0,0,True
601601.SH,2016,0,0,True
601601.SH,2017,12,12,True
601601.SH,2018,14,14,True
601601.SH,2020,25,25,True
601601.SH,2019,21,21,True
601601.SH,2021,17,17,True
601601.SH,2022,17,17,True
601601.SH,2024,20,20,True
601601.SH,2025,22,22,True
601601.SH,2023,24,24,True
601601.SH,2026,11,11,True
601628.SH,2016,0,0,True
601628.SH,2015,0,0,True
601628.SH,2017,15,15,True
601628.SH,2018,11,11,True
601628.SH,2020,17,17,True
601628.SH,2019,29,29,True
601628.SH,2021,15,15,True
601628.SH,2023,18,18,True
601628.SH,2022,19,19,True
601628.SH,2025,14,14,True
601628.SH,2024,17,17,True
601939.SH,2015,0,0,True
601628.SH,2026,10,10,True
601939.SH,2016,0,0,True
601939.SH,2017,12,12,True
601939.SH,2018,17,17,True
601939.SH,2020,7,7,True
601939.SH,2019,10,10,True
601939.SH,2022,6,6,True
601939.SH,2021,8,8,True
601939.SH,2023,10,10,True
601939.SH,2025,5,5,True
601939.SH,2026,1,1,True
601939.SH,2024,0,0,True
