period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,75,75,820,0.5095846908803993,0,783,821,0
evaluation,STRESS,75,75,820,0.5096221985930854,0,783,821,0
earlier_diagnostic,BASE,52,52,675,0.5520056489441426,0,543,676,0
earlier_diagnostic,STRESS,52,52,675,0.5520737634646637,0,543,676,0
