period,cost,cycles,positive_cycles,negative_cycles,net_profit,largest_positive_cycle_profit,top_two_positive_profit,initial_target,additional_buys
evaluation,BASE,75,23,52,-27036.822140000284,31980.954199999967,61269.350119999945,1.0,0
evaluation,STRESS,75,21,54,-44123.39359999976,29442.182,58272.898279999994,1.0,0
earlier_diagnostic,BASE,52,22,30,40132.512699999934,52905.27185999998,91733.87681999998,1.0,0
earlier_diagnostic,STRESS,52,22,30,22207.275919999945,52511.66983999999,88589.00855999996,1.0,0
