period,source_state,target,decision_origins
evaluation,VIEW_DOWN_STATE,0.0,783
evaluation,VIEW_UP_STATE,1.0,821
earlier_diagnostic,VIEW_DOWN_STATE,0.0,543
earlier_diagnostic,VIEW_UP_STATE,1.0,676
