period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,reconciliation_error
evaluation,BASE,REARM_RIDGE,-110170.39784000054,-98280.10000000003,228.00000000000182,2952.997840000001,9165.300000000394,-1.1459633242338896e-10
evaluation,BASE,PANIC_LEARNED_HALF,-86616.3734200004,-75023.30000000006,4969.6,4054.873420000001,12507.800000000268,-6.548361852765083e-11
evaluation,BASE,BUY_HOLD,-80287.88638000027,-44482.50000000008,-14498.800000000001,5244.986380000001,16061.600000000171,-1.6370904631912708e-11
evaluation,STRESS,REARM_RIDGE,-117954.04431999975,-97135.30000000003,-91.99999999999818,5466.4443200000005,15260.2999999998,7.821654435247183e-11
evaluation,STRESS,PANIC_LEARNED_HALF,-98896.62007999964,-74676.40000000005,4528.000000000001,7610.820080000001,21137.399999999812,2.219167072325945e-10
evaluation,STRESS,BUY_HOLD,-97095.12207999962,-44550.100000000064,-14982.800000000001,9967.322080000002,27594.899999999845,2.9103830456733704e-10
earlier_diagnostic,BASE,REARM_RIDGE,-63430.37868000011,-58086.90000000019,9975.9,3824.47868,11494.899999999874,-4.547473508864641e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-5800.23984000014,-731.1000000001732,10938.4,4022.4398400000005,11985.099999999878,-8.731149137020111e-11
earlier_diagnostic,BASE,BUY_HOLD,-2329.681540000136,21392.199999999797,-5148.299999999997,4663.88154,13909.69999999985,-8.36735125631094e-11
earlier_diagnostic,STRESS,REARM_RIDGE,-77116.28524,-58291.300000000185,9349.1,7302.685240000001,20871.39999999987,5.820766091346741e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-20846.445959999925,-1503.400000000176,10311.6,7692.54596,21962.099999999875,1.2732925824820995e-10
earlier_diagnostic,STRESS,BUY_HOLD,-19948.312559999962,20407.09999999979,-5775.099999999997,8967.41256,25612.89999999988,1.3096723705530167e-10
