origin,is_monthly_training_origin,actual_index_members,forward_eps_growth_median,eps_growth_company_count,same_year_profit_revision_90_median,profit_revision_company_count,reported_forward_earnings_yield_median,reported_earnings_yield_company_count,raw_eps_revision_90_unadjusted_median,raw_eps_revision_unadjusted_company_count,all_eps_features_valid,eps_company_coverage_of_index,comparable_company_count,same_report_count,new_report_unchanged_count,up_revision_count,down_revision_count,unchanged_count,median_revision,profit_revision_breadth,profit_revision_mean,profit_report_renewal_fraction,distribution_features_valid
2015-01-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-02-27,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-03-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-04-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-05-29,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-06-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-07-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-08-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-09-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-10-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-11-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2015-12-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-01-29,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-02-29,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-03-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-04-29,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-05-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-06-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-07-29,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-08-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-09-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-10-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-11-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2016-12-30,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2017-01-26,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2017-02-28,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
2017-03-31,True,300,,0,,0,,0,,0,False,0.0,0,0,0,0,0,0,,,,,False
