fit_index,fit_origin,cycles,rows,missing_features,largest_gradient
1157,2017-03-01,10,438,0,1.491862189340054e-16
1180,2017-04-05,10,438,0,1.491862189340054e-16
1198,2017-05-02,10,438,0,1.491862189340054e-16
1218,2017-06-01,11,497,0,1.5699247457590104e-16
1240,2017-07-03,11,497,0,1.5699247457590104e-16
1261,2017-08-01,11,497,0,1.5699247457590104e-16
1284,2017-09-01,12,556,0,1.0061396160665481e-16
1305,2017-10-09,12,556,0,1.0061396160665481e-16
1322,2017-11-01,12,556,0,1.0061396160665481e-16
1344,2017-12-01,13,615,0,3.9898639947466563e-16
1365,2018-01-02,13,615,0,3.9898639947466563e-16
1387,2018-02-01,13,615,0,3.9898639947466563e-16
1402,2018-03-01,14,671,0,2.1337098754514727e-16
1424,2018-04-02,14,671,0,2.1337098754514727e-16
1442,2018-05-02,14,671,0,2.1337098754514727e-16
1464,2018-06-01,14,671,0,2.1337098754514727e-16
1484,2018-07-02,14,671,0,2.1337098754514727e-16
1506,2018-08-01,14,671,0,2.1337098754514727e-16
1529,2018-09-03,14,671,0,2.1337098754514727e-16
1548,2018-10-08,14,671,0,2.1337098754514727e-16
1566,2018-11-01,15,678,0,9.020562075079397e-17
1588,2018-12-03,15,678,0,9.020562075079397e-17
1608,2019-01-02,15,678,0,9.020562075079397e-17
1630,2019-02-01,15,678,0,9.020562075079397e-17
1645,2019-03-01,15,678,0,9.020562075079397e-17
1666,2019-04-01,15,678,0,9.020562075079397e-17
1687,2019-05-06,15,678,0,9.020562075079397e-17
1707,2019-06-03,16,721,0,3.9963692077815693e-16
1726,2019-07-01,16,721,0,3.9963692077815693e-16
1749,2019-08-01,17,759,0,4.440892098500626e-16
1771,2019-09-02,17,759,0,4.440892098500626e-16
1791,2019-10-08,17,759,0,4.440892098500626e-16
1809,2019-11-01,17,759,0,4.440892098500626e-16
1830,2019-12-02,17,759,0,4.440892098500626e-16
1852,2020-01-02,17,759,0,4.440892098500626e-16
1868,2020-02-03,17,759,0,4.440892098500626e-16
1888,2020-03-02,17,759,0,4.440892098500626e-16
1910,2020-04-01,18,787,0,6.314393452555578e-16
1931,2020-05-06,18,787,0,6.314393452555578e-16
1949,2020-06-01,19,829,0,3.196228004487267e-16
1969,2020-07-01,19,829,0,3.196228004487267e-16
1992,2020-08-03,19,829,0,3.196228004487267e-16
