period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,255,255,0,23,24,0,347
evaluation,STRESS,255,255,0,23,24,0,347
earlier_diagnostic,BASE,300,96,204,2,9,0,384
earlier_diagnostic,STRESS,300,96,204,2,9,0,384
