cycle_new,entry_date,entry_origin_new,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_origin_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
1.0,2020-02-05,2020-02-04,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,1.0,2020-02-04,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,both,evaluation,BASE
2.0,2020-07-01,2020-06-30,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,2.0,2020-06-30,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,both,evaluation,BASE
3.0,2020-08-19,2020-08-18,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,3.0,2020-08-18,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,both,evaluation,BASE
4.0,2021-01-05,2021-01-04,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,4.0,2021-01-04,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,both,evaluation,BASE
5.0,2021-02-03,2021-02-02,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,5.0,2021-02-02,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,both,evaluation,BASE
6.0,2021-06-08,2021-06-07,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,6.0,2021-06-07,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,both,evaluation,BASE
7.0,2021-10-29,2021-10-28,228689.52876,1293.600000000035,91.66080000000001,277.2000000000105,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,924.7392000000243,0.004043644695995238,7.0,2021-10-28,228689.52876,1293.600000000035,91.66080000000001,277.2000000000105,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,924.7392000000243,0.004043644695995238,both,evaluation,BASE
8.0,2021-11-25,2021-11-24,229591.80918,3672.0,92.49768,275.40000000001044,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,3304.1023199999895,0.014391202943174567,8.0,2021-11-24,229591.80918,3672.0,92.49768,275.40000000001044,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,3304.1023199999895,0.014391202943174567,both,evaluation,BASE
9.0,2022-05-13,2022-05-12,233062.6032,5314.399999999965,94.21088,291.9999999999678,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4928.189119999997,0.02114534486586391,9.0,2022-05-12,233062.6032,5314.399999999965,94.21088,291.9999999999678,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4928.189119999997,0.02114534486586391,both,evaluation,BASE
10.0,2022-06-08,2022-06-07,237925.97568,-1476.7999999999884,94.78783999999999,340.8000000000129,0.0,2.0,1.0,1.0,2022-06-10,2022-06-09,False,-1912.3878400000012,-0.008037742976715072,10.0,2022-06-07,237925.97568,-1476.7999999999884,94.78783999999999,340.8000000000129,0.0,2.0,1.0,1.0,2022-06-10,2022-06-09,False,-1912.3878400000012,-0.008037742976715072,both,evaluation,BASE
