period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,auxiliary_allowed_origins,auxiliary_blocked_origins,mean_target
evaluation,DRAWDOWN_GATE_TWO_CLOSE_RECOVERY,BASE,1604,437,1167,0,838,766,0.1273060904795035
evaluation,DRAWDOWN_GATE_TWO_CLOSE_RECOVERY,STRESS,1604,437,1167,0,838,766,0.1273060904795035
earlier_diagnostic,DRAWDOWN_GATE_TWO_CLOSE_RECOVERY,BASE,1219,423,796,0,642,577,0.20841600841625607
earlier_diagnostic,DRAWDOWN_GATE_TWO_CLOSE_RECOVERY,STRESS,1219,429,790,0,642,577,0.21254949506194065
