period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,295,31,35,0,0,0.096482392564211
evaluation,STRESS,295,31,35,0,0,0.09653894331085586
earlier_diagnostic,BASE,302,18,16,0,0,0.109245852805655
earlier_diagnostic,STRESS,308,18,16,0,0,0.11210259353217304
