period,cost,episode_id,parent,first_origin,last_origin,ended_by_explicit_zero,right_censored_at_terminal,positive_target_origins,unknown_target_origins
evaluation,BASE,1,MODEL_SUPPORT_REFERENCE_ROUTER,2020-02-04,2020-02-28,True,False,18,0
evaluation,BASE,2,VINTAGE_REFERENCE_RISK,2020-06-30,2020-07-06,True,False,4,0
evaluation,BASE,3,VINTAGE_REFERENCE_RISK,2020-08-18,2020-09-29,True,False,30,0
evaluation,BASE,4,VINTAGE_REFERENCE_RISK,2021-01-04,2021-01-13,True,False,7,0
evaluation,BASE,5,VINTAGE_REFERENCE_RISK,2021-02-02,2021-02-18,True,False,7,0
evaluation,BASE,6,VINTAGE_REFERENCE_RISK,2021-06-07,2021-07-27,True,False,35,0
evaluation,BASE,7,MODEL_SUPPORT_REFERENCE_ROUTER,2021-07-28,2021-08-10,True,False,9,0
evaluation,BASE,8,MODEL_SUPPORT_REFERENCE_ROUTER,2021-10-28,2021-12-10,True,False,31,0
evaluation,BASE,9,MODEL_SUPPORT_REFERENCE_ROUTER,2022-05-12,2022-06-09,True,False,19,0
evaluation,BASE,10,MODEL_SUPPORT_REFERENCE_ROUTER,2022-08-09,2022-09-01,True,False,17,0
evaluation,BASE,11,MODEL_SUPPORT_REFERENCE_ROUTER,2024-02-08,2024-02-22,True,False,4,0
evaluation,BASE,12,VINTAGE_REFERENCE_RISK,2024-06-17,2024-07-17,True,False,22,0
evaluation,BASE,13,MODEL_SUPPORT_REFERENCE_ROUTER,2024-08-01,2024-08-05,True,False,2,0
evaluation,BASE,14,MODEL_SUPPORT_REFERENCE_ROUTER,2024-08-27,2024-09-11,True,False,11,0
evaluation,BASE,15,MODEL_SUPPORT_REFERENCE_ROUTER,2024-09-24,2024-09-27,True,False,3,0
evaluation,BASE,16,MODEL_SUPPORT_REFERENCE_ROUTER,2025-04-08,2025-04-22,True,False,10,0
evaluation,BASE,17,MODEL_SUPPORT_REFERENCE_ROUTER,2025-05-30,2025-06-17,True,False,11,0
evaluation,BASE,18,VINTAGE_REFERENCE_RISK,2025-06-18,2025-06-25,True,False,5,0
evaluation,BASE,19,VINTAGE_REFERENCE_RISK,2025-12-18,2026-01-06,True,False,11,0
evaluation,BASE,20,VINTAGE_REFERENCE_RISK,2026-01-15,2026-02-03,True,False,13,0
evaluation,BASE,21,VINTAGE_REFERENCE_RISK,2026-04-30,2026-05-12,True,False,5,0
evaluation,BASE,22,VINTAGE_REFERENCE_RISK,2026-06-04,2026-06-18,True,False,10,0
evaluation,BASE,23,MODEL_SUPPORT_REFERENCE_ROUTER,2026-07-22,2026-07-30,True,False,6,0
evaluation,BASE,24,MODEL_SUPPORT_REFERENCE_ROUTER,2026-08-06,2026-08-13,False,True,6,0
evaluation,STRESS,1,MODEL_SUPPORT_REFERENCE_ROUTER,2020-02-04,2020-02-28,True,False,18,0
evaluation,STRESS,2,VINTAGE_REFERENCE_RISK,2020-06-30,2020-07-06,True,False,4,0
evaluation,STRESS,3,VINTAGE_REFERENCE_RISK,2020-08-18,2020-09-29,True,False,30,0
evaluation,STRESS,4,VINTAGE_REFERENCE_RISK,2021-01-04,2021-01-13,True,False,7,0
evaluation,STRESS,5,VINTAGE_REFERENCE_RISK,2021-02-02,2021-02-18,True,False,7,0
evaluation,STRESS,6,VINTAGE_REFERENCE_RISK,2021-06-07,2021-07-27,True,False,35,0
evaluation,STRESS,7,MODEL_SUPPORT_REFERENCE_ROUTER,2021-07-28,2021-08-10,True,False,9,0
evaluation,STRESS,8,MODEL_SUPPORT_REFERENCE_ROUTER,2021-10-28,2021-12-10,True,False,31,0
evaluation,STRESS,9,MODEL_SUPPORT_REFERENCE_ROUTER,2022-05-12,2022-06-09,True,False,19,0
evaluation,STRESS,10,MODEL_SUPPORT_REFERENCE_ROUTER,2022-08-09,2022-09-01,True,False,17,0
evaluation,STRESS,11,MODEL_SUPPORT_REFERENCE_ROUTER,2024-02-08,2024-02-22,True,False,4,0
evaluation,STRESS,12,VINTAGE_REFERENCE_RISK,2024-06-17,2024-07-17,True,False,22,0
evaluation,STRESS,13,MODEL_SUPPORT_REFERENCE_ROUTER,2024-08-01,2024-08-05,True,False,2,0
evaluation,STRESS,14,MODEL_SUPPORT_REFERENCE_ROUTER,2024-08-27,2024-09-11,True,False,11,0
evaluation,STRESS,15,MODEL_SUPPORT_REFERENCE_ROUTER,2024-09-24,2024-09-27,True,False,3,0
evaluation,STRESS,16,MODEL_SUPPORT_REFERENCE_ROUTER,2025-04-08,2025-04-22,True,False,10,0
evaluation,STRESS,17,MODEL_SUPPORT_REFERENCE_ROUTER,2025-05-30,2025-06-17,True,False,11,0
evaluation,STRESS,18,VINTAGE_REFERENCE_RISK,2025-06-18,2025-06-25,True,False,5,0
evaluation,STRESS,19,VINTAGE_REFERENCE_RISK,2025-12-18,2026-01-06,True,False,11,0
evaluation,STRESS,20,VINTAGE_REFERENCE_RISK,2026-01-15,2026-02-03,True,False,13,0
