period,cost,decision_origins,selection_changes,signal_episodes_started,signal_episodes_released_by_zero,selected_parent_at_last_decision,selected_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,55,24,23,MODEL_SUPPORT_REFERENCE_ROUTER,"{'VINTAGE_REFERENCE_RISK': 861, 'MODEL_SUPPORT_REFERENCE_ROUTER': 743}",296,1308,0,0,0
evaluation,STRESS,1604,55,24,23,MODEL_SUPPORT_REFERENCE_ROUTER,"{'VINTAGE_REFERENCE_RISK': 861, 'MODEL_SUPPORT_REFERENCE_ROUTER': 743}",296,1308,0,0,0
earlier_diagnostic,BASE,1219,32,10,10,,"{'VINTAGE_REFERENCE_RISK': 638, 'MODEL_SUPPORT_REFERENCE_ROUTER': 581}",302,917,0,0,0
earlier_diagnostic,STRESS,1219,32,10,10,,"{'VINTAGE_REFERENCE_RISK': 638, 'MODEL_SUPPORT_REFERENCE_ROUTER': 581}",308,911,0,0,0
