拟合收盘,拟合位置,请求日变化行数,完整成熟日变化行数,窗口完整,四状态均至少二十次,最低状态出现次数,长期不在均线上方、短期未上涨次数,长期不在均线上方、短期上涨次数,长期在均线上方、短期未上涨次数,长期在均线上方、短期上涨次数
2014-12-31,632,504,504,True,True,98,118,101,98,187
2015-01-05,633,504,504,True,True,98,117,101,98,188
2015-02-02,653,504,504,True,True,94,115,94,109,186
2015-03-02,668,504,504,True,True,94,115,94,115,180
2015-04-01,690,504,504,True,True,94,115,94,111,184
2015-05-04,711,504,504,True,True,94,115,94,98,197
2015-06-01,731,504,504,True,True,94,111,94,98,201
2015-07-01,752,504,504,True,True,94,111,94,108,191
2015-08-03,775,504,504,True,True,96,108,96,107,193
2015-09-01,796,504,504,True,True,94,110,94,107,193
2015-10-08,816,504,504,True,True,88,116,88,107,193
2015-11-02,833,504,504,True,True,99,117,103,99,185
2015-12-01,854,504,504,True,True,90,125,112,90,177
2016-01-04,877,504,504,True,True,91,126,116,91,171
2016-02-01,897,504,504,True,True,85,135,113,85,171
2016-03-01,913,504,504,True,True,85,128,120,85,171
2016-04-01,936,504,504,True,True,85,126,122,85,171
2016-05-03,956,504,504,True,True,85,130,118,85,171
2016-06-01,977,504,504,True,True,85,127,121,85,171
2016-07-01,997,504,504,True,True,85,124,121,85,174
2016-08-01,1018,504,504,True,True,93,118,111,93,182
2016-09-01,1041,504,504,True,True,101,116,111,101,176
2016-10-10,1061,504,504,True,True,106,116,111,106,171
2016-11-01,1077,504,504,True,True,102,116,111,102,175
2016-12-01,1099,504,504,True,True,93,116,111,93,184
2017-01-03,1121,504,504,True,True,102,122,112,102,168
2017-02-03,1139,504,504,True,True,99,127,113,99,165
2017-03-01,1157,504,504,True,True,91,127,113,91,173
2017-04-05,1180,504,504,True,True,89,127,113,89,175
2017-05-02,1198,504,504,True,True,100,127,113,100,164
2017-06-01,1218,504,504,True,True,99,134,119,99,152
2017-07-03,1240,504,504,True,True,94,134,119,94,157
2017-08-01,1261,504,504,True,True,91,130,119,91,164
2017-09-01,1284,504,504,True,True,100,121,107,100,176
2017-10-09,1305,504,504,True,True,97,110,97,110,187
2017-11-01,1322,504,504,True,True,91,99,91,111,203
2017-12-01,1344,504,504,True,True,72,96,72,120,216
2018-01-02,1365,504,504,True,True,65,82,65,132,225
2018-02-01,1387,504,504,True,True,63,74,63,131,236
2018-03-01,1402,504,504,True,True,62,66,62,136,240
2018-04-02,1424,504,504,True,True,48,70,48,138,248
2018-05-02,1442,504,504,True,True,46,72,46,138,248
2018-06-01,1464,504,504,True,True,46,72,46,138,248
2018-07-02,1484,504,504,True,True,42,76,42,138,248
2018-08-01,1506,504,504,True,True,47,79,47,138,240
2018-09-03,1529,504,504,True,True,59,90,59,126,229
2018-10-08,1548,504,504,True,True,67,101,67,118,218
2018-11-01,1566,504,504,True,True,72,114,72,108,210
2018-12-03,1588,504,504,True,True,82,126,82,104,192
2019-01-02,1608,504,504,True,True,89,139,89,100,176
2019-02-01,1630,504,504,True,True,90,136,107,90,171
2019-03-01,1645,504,504,True,True,90,131,106,90,177
2019-04-01,1666,504,504,True,True,93,131,106,93,174
2019-05-06,1687,504,504,True,True,95,131,106,95,172
2019-06-03,1707,504,504,True,True,97,127,106,97,174
2019-07-01,1726,504,504,True,True,100,124,100,100,180
2019-08-01,1749,504,504,True,True,100,124,100,100,180
2019-09-02,1771,504,504,True,True,96,129,105,96,174
2019-10-08,1791,504,504,True,True,99,129,105,99,171
2019-11-01,1809,504,504,True,True,96,129,105,96,174
2019-12-02,1830,504,504,True,True,104,130,105,104,165
2020-01-02,1852,504,504,True,True,99,130,105,99,170
2020-02-03,1868,504,504,True,True,98,130,105,98,171
2020-03-02,1888,504,504,True,True,98,136,106,98,164
2020-04-01,1910,504,504,True,True,94,138,110,94,162
2020-05-06,1931,504,504,True,True,92,134,122,92,156
2020-06-01,1949,504,504,True,True,94,131,119,94,160
2020-07-01,1969,504,504,True,True,97,121,109,97,177
2020-08-03,1992,504,504,True,True,102,102,105,107,190
2020-09-01,2013,504,504,True,True,92,94,92,114,204
2020-10-09,2035,504,504,True,True,80,84,80,129,211
2020-11-02,2051,504,504,True,True,73,75,73,138,218
2020-12-01,2072,504,504,True,True,61,61,66,144,233
2021-01-04,2095,504,504,True,True,50,50,54,151,249
2021-02-01,2115,504,504,True,True,35,35,49,157,263
2021-03-01,2130,504,504,True,True,34,35,34,164,271
2021-04-01,2153,504,504,True,True,36,42,36,171,255
2021-05-06,2174,504,504,True,True,48,50,48,162,244
2021-06-01,2192,504,504,True,True,52,57,52,152,243
2021-07-01,2213,504,504,True,True,55,63,55,146,240
2021-08-02,2235,504,504,True,True,62,77,62,142,223
2021-09-01,2257,504,504,True,True,75,84,75,132,213
2021-10-08,2277,504,504,True,True,82,89,82,130,203
2021-11-01,2293,504,504,True,True,92,95,92,123,194
2021-12-01,2315,504,504,True,True,102,107,102,114,181
2022-01-04,2338,504,504,True,True,103,114,105,103,182
2022-02-07,2357,504,504,True,True,100,129,109,100,166
2022-03-01,2373,504,504,True,True,94,139,114,94,157
2022-04-01,2396,504,504,True,True,91,151,119,91,143
2022-05-05,2415,504,504,True,True,89,155,119,89,141
2022-06-01,2434,504,504,True,True,89,159,115,89,141
2022-07-01,2455,504,504,True,True,87,151,125,87,141
2022-08-01,2476,504,504,True,True,100,154,125,100,125
2022-09-01,2499,504,504,True,True,93,167,127,93,117
2022-10-10,2520,504,504,True,True,86,185,130,86,103
2022-11-01,2536,504,504,True,True,74,197,134,74,99
2022-12-01,2558,504,504,True,True,62,203,150,62,89
2023-01-03,2580,504,504,True,True,56,212,163,56,73
2023-02-01,2596,504,504,True,True,49,212,165,49,78
2023-03-01,2616,504,504,True,True,58,212,165,58,69
2023-04-03,2639,504,504,True,True,56,212,165,56,71
2023-05-04,2658,504,504,True,True,60,206,159,60,79
2023-06-01,2678,504,504,True,True,60,213,149,60,82
2023-07-03,2698,504,504,True,True,59,215,156,59,74
2023-08-01,2719,504,504,True,True,53,215,165,53,71
2023-09-01,2742,504,504,True,True,56,213,159,56,76
2023-10-09,2762,504,504,True,True,56,216,156,56,76
2023-11-01,2779,504,504,True,True,56,223,149,56,76
2023-12-01,2801,504,504,True,True,56,226,146,56,76
2024-01-02,2822,504,504,True,True,56,232,140,56,76
2024-02-01,2844,504,504,True,True,53,237,147,53,67
2024-03-01,2859,504,504,True,True,53,230,153,53,68
2024-04-01,2880,504,504,True,True,60,216,146,60,82
2024-05-06,2900,504,504,True,True,69,200,142,69,93
2024-06-03,2920,504,504,True,True,77,186,136,77,105
2024-07-01,2939,504,504,True,True,90,181,125,90,108
2024-08-01,2962,504,504,True,True,90,192,112,90,110
2024-09-02,2984,504,504,True,True,75,201,118,75,110
2024-10-08,3003,504,504,True,True,72,203,121,72,108
2024-11-01,3021,504,504,True,True,80,188,118,80,118
2024-12-02,3042,504,504,True,True,93,173,112,93,126
2025-01-02,3064,504,504,True,True,96,167,96,100,141
2025-02-05,3082,504,504,True,True,87,158,87,109,150
2025-03-03,3100,504,504,True,True,83,158,83,111,152
2025-04-01,3121,504,504,True,True,83,160,83,108,153
2025-05-06,3142,504,504,True,True,94,170,94,97,143
2025-06-03,3161,504,504,True,True,94,173,98,94,139
2025-07-01,3181,504,504,True,True,97,161,97,98,148
2025-08-01,3204,504,504,True,True,84,151,84,100,169
2025-09-01,3225,504,504,True,True,74,144,74,104,182
2025-10-09,3247,504,504,True,True,69,133,69,109,193
2025-11-03,3264,504,504,True,True,65,120,65,117,202
2025-12-01,3284,504,504,True,True,59,106,59,131,208
2026-01-05,3307,504,504,True,True,51,91,51,138,224
2026-02-02,3327,504,504,True,True,45,77,45,149,233
2026-03-02,3341,504,504,True,True,42,66,42,156,240
2026-04-01,3363,504,504,True,True,28,69,28,162,245
2026-05-06,3384,504,504,True,True,31,72,31,156,245
2026-06-01,3402,504,504,True,True,31,72,31,153,248
2026-07-01,3423,504,504,True,True,31,72,31,157,244
2026-08-03,3446,504,504,True,True,33,78,33,149,244
