拟合收盘,当前状态,下一日状态,发生次数,当前状态总次数
2014-12-31,0,0,92,118
2014-12-31,0,1,21,118
2014-12-31,0,2,2,118
2014-12-31,0,3,3,118
2014-12-31,1,0,17,101
2014-12-31,1,1,80,101
2014-12-31,1,2,0,101
2014-12-31,1,3,4,101
2014-12-31,2,0,4,98
2014-12-31,2,1,0,98
2014-12-31,2,2,70,98
2014-12-31,2,3,24,98
2014-12-31,3,0,4,187
2014-12-31,3,1,0,187
2014-12-31,3,2,26,187
2014-12-31,3,3,157,187
2015-01-05,0,0,91,117
2015-01-05,0,1,21,117
2015-01-05,0,2,2,117
2015-01-05,0,3,3,117
2015-01-05,1,0,17,101
2015-01-05,1,1,80,101
2015-01-05,1,2,0,101
2015-01-05,1,3,4,101
2015-01-05,2,0,4,98
2015-01-05,2,1,0,98
2015-01-05,2,2,70,98
2015-01-05,2,3,24,98
2015-01-05,3,0,4,188
2015-01-05,3,1,0,188
2015-01-05,3,2,26,188
2015-01-05,3,3,158,188
2015-02-02,0,0,90,115
2015-02-02,0,1,20,115
2015-02-02,0,2,2,115
2015-02-02,0,3,3,115
2015-02-02,1,0,17,94
2015-02-02,1,1,74,94
2015-02-02,1,2,0,94
2015-02-02,1,3,3,94
2015-02-02,2,0,4,109
2015-02-02,2,1,0,109
2015-02-02,2,2,78,109
2015-02-02,2,3,27,109
2015-02-02,3,0,4,186
2015-02-02,3,1,0,186
2015-02-02,3,2,30,186
2015-02-02,3,3,152,186
2015-03-02,0,0,90,115
2015-03-02,0,1,20,115
2015-03-02,0,2,2,115
2015-03-02,0,3,3,115
2015-03-02,1,0,17,94
2015-03-02,1,1,74,94
2015-03-02,1,2,0,94
2015-03-02,1,3,3,94
2015-03-02,2,0,4,115
2015-03-02,2,1,0,115
2015-03-02,2,2,84,115
2015-03-02,2,3,27,115
2015-03-02,3,0,4,180
2015-03-02,3,1,0,180
2015-03-02,3,2,29,180
2015-03-02,3,3,147,180
2015-04-01,0,0,90,115
2015-04-01,0,1,20,115
2015-04-01,0,2,2,115
2015-04-01,0,3,3,115
2015-04-01,1,0,17,94
2015-04-01,1,1,74,94
2015-04-01,1,2,0,94
2015-04-01,1,3,3,94
2015-04-01,2,0,4,111
2015-04-01,2,1,0,111
2015-04-01,2,2,79,111
2015-04-01,2,3,28,111
2015-04-01,3,0,4,184
2015-04-01,3,1,0,184
2015-04-01,3,2,29,184
2015-04-01,3,3,151,184
2015-05-04,0,0,90,115
2015-05-04,0,1,20,115
2015-05-04,0,2,2,115
2015-05-04,0,3,3,115
2015-05-04,1,0,17,94
2015-05-04,1,1,74,94
2015-05-04,1,2,0,94
2015-05-04,1,3,3,94
2015-05-04,2,0,4,98
2015-05-04,2,1,0,98
2015-05-04,2,2,69,98
2015-05-04,2,3,25,98
2015-05-04,3,0,4,197
2015-05-04,3,1,0,197
2015-05-04,3,2,26,197
2015-05-04,3,3,167,197
2015-06-01,0,0,89,111
2015-06-01,0,1,20,111
2015-06-01,0,2,1,111
2015-06-01,0,3,1,111
2015-06-01,1,0,17,94
2015-06-01,1,1,74,94
2015-06-01,1,2,0,94
2015-06-01,1,3,3,94
2015-06-01,2,0,3,98
2015-06-01,2,1,0,98
2015-06-01,2,2,70,98
2015-06-01,2,3,25,98
2015-06-01,3,0,2,201
2015-06-01,3,1,0,201
2015-06-01,3,2,28,201
2015-06-01,3,3,171,201
2015-07-01,0,0,89,111
2015-07-01,0,1,20,111
2015-07-01,0,2,1,111
2015-07-01,0,3,1,111
2015-07-01,1,0,17,94
2015-07-01,1,1,74,94
2015-07-01,1,2,0,94
2015-07-01,1,3,3,94
2015-07-01,2,0,3,108
2015-07-01,2,1,0,108
2015-07-01,2,2,81,108
2015-07-01,2,3,24,108
2015-07-01,3,0,2,191
2015-07-01,3,1,0,191
2015-07-01,3,2,26,191
2015-07-01,3,3,163,191
2015-08-03,0,0,85,108
2015-08-03,0,1,21,108
2015-08-03,0,2,1,108
2015-08-03,0,3,1,108
2015-08-03,1,0,18,96
2015-08-03,1,1,73,96
2015-08-03,1,2,0,96
2015-08-03,1,3,5,96
2015-08-03,2,0,3,107
2015-08-03,2,1,0,107
2015-08-03,2,2,80,107
2015-08-03,2,3,24,107
2015-08-03,3,0,2,193
2015-08-03,3,1,2,193
2015-08-03,3,2,26,193
2015-08-03,3,3,163,193
2015-09-01,0,0,87,110
2015-09-01,0,1,21,110
2015-09-01,0,2,1,110
2015-09-01,0,3,1,110
2015-09-01,1,0,18,94
2015-09-01,1,1,71,94
2015-09-01,1,2,0,94
2015-09-01,1,3,5,94
2015-09-01,2,0,3,107
2015-09-01,2,1,0,107
2015-09-01,2,2,80,107
2015-09-01,2,3,24,107
2015-09-01,3,0,2,193
2015-09-01,3,1,2,193
2015-09-01,3,2,26,193
2015-09-01,3,3,163,193
2015-10-08,0,0,90,116
2015-10-08,0,1,24,116
2015-10-08,0,2,1,116
2015-10-08,0,3,1,116
2015-10-08,1,0,21,88
2015-10-08,1,1,62,88
2015-10-08,1,2,0,88
2015-10-08,1,3,5,88
2015-10-08,2,0,3,107
2015-10-08,2,1,0,107
2015-10-08,2,2,80,107
2015-10-08,2,3,24,107
2015-10-08,3,0,2,193
2015-10-08,3,1,2,193
2015-10-08,3,2,26,193
2015-10-08,3,3,163,193
2015-11-02,0,0,91,117
2015-11-02,0,1,24,117
2015-11-02,0,2,1,117
2015-11-02,0,3,1,117
2015-11-02,1,0,22,103
2015-11-02,1,1,77,103
2015-11-02,1,2,0,103
2015-11-02,1,3,4,103
2015-11-02,2,0,3,99
2015-11-02,2,1,0,99
2015-11-02,2,2,73,99
2015-11-02,2,3,23,99
2015-11-02,3,0,2,185
2015-11-02,3,1,2,185
2015-11-02,3,2,25,185
2015-11-02,3,3,156,185
2015-12-01,0,0,97,125
2015-12-01,0,1,27,125
2015-12-01,0,2,0,125
2015-12-01,0,3,1,125
