period,model,cost,risk_budget,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,mean_target
evaluation,ACCOUNT_RISK_12,BASE,0.12,1604,436,1168,0,213,0.19876966928550444
evaluation,ACCOUNT_RISK_15,BASE,0.15,1604,436,1168,0,246,0.20907457092332193
evaluation,ACCOUNT_RISK_12,STRESS,0.12,1604,436,1168,0,214,0.19885070978038383
evaluation,ACCOUNT_RISK_15,STRESS,0.15,1604,436,1168,0,246,0.20918964574625606
earlier_diagnostic,ACCOUNT_RISK_12,BASE,0.12,1219,446,773,0,200,0.28928300410355035
earlier_diagnostic,ACCOUNT_RISK_15,BASE,0.15,1219,446,773,0,244,0.3074327856115075
earlier_diagnostic,ACCOUNT_RISK_12,STRESS,0.12,1219,452,767,0,197,0.2939042863438482
earlier_diagnostic,ACCOUNT_RISK_15,STRESS,0.15,1219,452,767,0,251,0.3124672326608057
