model,period,cost,decisions,fills,maximum_target_error
ACCOUNT_RISK_12,evaluation,BASE,1604,111,2.220446049250313e-16
ACCOUNT_RISK_12,evaluation,STRESS,1604,111,2.220446049250313e-16
ACCOUNT_RISK_12,earlier_diagnostic,BASE,1219,61,3.3306690738754696e-16
ACCOUNT_RISK_12,earlier_diagnostic,STRESS,1219,61,3.3306690738754696e-16
ACCOUNT_RISK_15,evaluation,BASE,1604,106,2.220446049250313e-16
ACCOUNT_RISK_15,evaluation,STRESS,1604,109,3.3306690738754696e-16
ACCOUNT_RISK_15,earlier_diagnostic,BASE,1219,57,3.3306690738754696e-16
ACCOUNT_RISK_15,earlier_diagnostic,STRESS,1219,57,3.3306690738754696e-16
