origin,prior_origin,feature,current_companies,prior_companies,common_companies,new_company_count,lost_company_count,full_median_change,common_company_median_change,universe_composition_residual,annual_target_roll
2022-07-29,2022-06-30,eps_growth,114,117,107,7,10,-0.0003471491090788481,0.0,-0.0003471491090788481,False
2022-07-29,2022-06-30,profit_revision,86,43,39,47,4,0.0,0.0,0.0,False
2022-07-29,2022-06-30,reported_earnings_yield,112,115,105,7,10,0.0005213220727765672,0.0,0.0005213220727765672,False
2022-08-31,2022-07-29,eps_growth,136,114,111,25,3,0.0,0.0015759751346144935,-0.0015759751346144935,False
2022-08-31,2022-07-29,profit_revision,118,86,82,36,4,0.0,0.0,0.0,False
2022-08-31,2022-07-29,reported_earnings_yield,134,112,109,25,3,-0.007936895795888743,0.002163097555699753,-0.010099993351588496,False
2022-09-30,2022-08-31,eps_growth,139,136,127,12,9,0.0003471491090788481,0.0006580291680086392,-0.0003108800589297911,False
2022-09-30,2022-08-31,profit_revision,105,118,103,2,15,0.0,0.0,0.0,False
2022-09-30,2022-08-31,reported_earnings_yield,137,134,125,12,9,-0.001235733079546969,-0.002068337883676691,0.0008326048041297218,False
2022-10-31,2022-09-30,eps_growth,133,139,129,4,10,-0.0006995534517133806,-0.0006942982181576962,-5.255233555684358e-06,False
2022-10-31,2022-09-30,profit_revision,100,105,92,8,13,0.0,0.0,0.0,False
2022-10-31,2022-09-30,reported_earnings_yield,131,137,127,4,10,0.002498334443704203,0.0012249897917517433,0.00127334465195246,False
2022-11-30,2022-10-31,eps_growth,114,133,110,4,23,0.005222166517040022,0.0,0.005222166517040022,False
2022-11-30,2022-10-31,profit_revision,99,100,77,22,23,0.0,0.0,0.0,False
2022-11-30,2022-10-31,reported_earnings_yield,113,131,109,4,22,-0.004813863928112956,0.0,-0.004813863928112956,False
2022-12-30,2022-11-30,eps_growth,115,114,109,6,5,0.004522613065326614,0.0,0.004522613065326614,False
2022-12-30,2022-11-30,profit_revision,106,99,93,13,6,0.0,0.0,0.0,False
2022-12-30,2022-11-30,reported_earnings_yield,114,113,108,6,5,0.0,0.0,0.0,False
2023-02-28,2023-01-31,eps_growth,77,111,74,3,37,-0.004455077963864407,-0.001594558870323226,-0.0028605190935411806,False
2023-02-28,2023-01-31,profit_revision,68,103,64,4,39,0.0,0.0,0.0,False
2023-02-28,2023-01-31,reported_earnings_yield,77,110,74,3,36,0.004930374279530553,0.0,0.004930374279530553,False
2023-03-31,2023-02-28,eps_growth,83,77,60,23,17,0.009237139671922218,0.006258365446319053,0.0029787742256031646,False
2023-03-31,2023-02-28,profit_revision,61,68,50,11,18,0.0,0.0,0.0,False
2023-03-31,2023-02-28,reported_earnings_yield,83,77,60,23,17,-0.010247006795383456,0.0012989824637367475,-0.011545989259120204,False
2023-04-28,2023-03-31,eps_growth,135,83,79,56,4,-0.002299119320395976,-0.005139711945994635,0.002840592625598659,False
2023-04-28,2023-03-31,profit_revision,82,61,55,27,6,-0.022129169972801982,0.0,-0.022129169972801982,False
2023-04-28,2023-03-31,reported_earnings_yield,135,83,79,56,4,0.0009512937595129445,-0.0013790567251999591,0.0023303504847129036,False
2023-05-31,2023-04-28,eps_growth,156,135,131,25,4,0.0022217087214027043,0.0,0.0022217087214027043,False
2023-05-31,2023-04-28,profit_revision,59,82,52,7,30,0.010738885215683053,0.0,0.010738885215683053,False
