period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,262,26,28,0,0,0.08621515994179987
evaluation,STRESS,262,26,28,0,0,0.08623457078654093
earlier_diagnostic,BASE,339,16,16,0,0,0.14792429025664508
earlier_diagnostic,STRESS,339,16,16,0,0,0.1480393658188867
