period,cost,control,net_profit_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,TWO_POLICY_RISK_BUDGET,2063.885360000131,2158.5,1057.5999999999997,284.11464,868.0999999999653
evaluation,BASE,PANIC_LEARNED_HALF,2728.846380000061,4332.299999999996,-1362.4000000000005,53.25362000000018,187.79999999999563
evaluation,STRESS,TWO_POLICY_RISK_BUDGET,991.6614000000409,2055.100000000013,1048.8,560.4386,1551.800000000013
evaluation,STRESS,PANIC_LEARNED_HALF,2577.189079999953,4323.199999999997,-1346.3999999999996,105.71091999999999,293.9000000000042
earlier_diagnostic,BASE,TWO_POLICY_RISK_BUDGET,2637.251600000018,2364.300000000003,0.0,-65.05160000000012,-207.90000000000055
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-1304.6316399999778,-1508.8999999999942,0.0,-51.568359999999984,-152.70000000000073
earlier_diagnostic,STRESS,TWO_POLICY_RISK_BUDGET,2886.41960000011,2392.199999999997,0.0,-128.21960000000013,-366.0
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-1118.932359999948,-1497.699999999997,0.0,-101.76764000000003,-277.0000000000009
