period,date,panic_budget,learned_budget,panic_sd,learned_sd,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target,panic_active_days,learned_active_days,panic_active_exposure,learned_active_exposure,panic_reference_return,learned_reference_return
evaluation,2020-01-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-01-02,,2020-01-02,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2020-02-03,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-02-03,,2020-01-02,17,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
evaluation,2020-03-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-03-02,,2020-01-02,37,0.0,0.0,0.0,10,19,0.0,1.0,0.0,0.0031038186612286633
evaluation,2020-04-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-04-01,,2020-01-02,59,0.0,0.0,0.0,10,19,0.0,0.0,0.0,0.0
evaluation,2020-05-06,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-05-06,,2020-01-02,80,0.0,0.0,0.0,10,19,0.0,0.0,0.0,0.0
evaluation,2020-06-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-06-01,,2020-01-02,98,0.0,0.0,0.0,10,19,0.0,0.0,0.0,0.0
evaluation,2020-07-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-07-01,,2020-01-02,118,0.0,1.0,0.5,10,20,0.0,1.0,0.0,0.019358938707959794
evaluation,2020-08-03,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-08-03,,2020-01-02,141,0.0,0.0,0.0,10,30,0.0,0.0,0.0,0.0
evaluation,2020-09-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-09-01,,2020-01-02,162,0.0,1.0,0.5,10,40,0.0,1.0,0.0,0.006966748494694919
evaluation,2020-10-09,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-10-09,,2020-01-02,184,0.0,0.0,0.0,10,48,0.0,0.0,0.0,0.0
evaluation,2020-11-02,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-11-02,,2020-01-02,200,0.0,0.0,0.0,10,48,0.0,0.0,0.0,0.0
evaluation,2020-12-01,0.5,0.5,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-12-01,,2020-01-02,221,0.0,0.0,0.0,10,48,0.0,0.0,0.0,0.0
evaluation,2021-01-04,0.6328029764318742,0.3671970235681258,0.009768665016904023,0.016834668860859967,RISK_BUDGET_AVAILABLE,True,2021-01-04,2021-01-04,2020-01-06,242,0.0,1.0,0.3671970235681258,10,48,0.0,0.0,0.0,0.0
evaluation,2021-02-01,0.6286203320481649,0.371379667951835,0.009774170759396015,0.01654436954546431,RISK_BUDGET_AVAILABLE,True,2021-02-01,2021-02-01,2020-02-11,242,0.0,0.0,0.0,6,57,0.0,0.0,0.0,0.0
evaluation,2021-03-01,0.6286203320481649,0.371379667951835,,,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,True,2021-03-01,2021-02-01,2020-03-03,242,0.0,0.0,0.0,0,55,0.0,0.0,0.0,0.0
