ts_code,reports,first,last
000001.SZ,18,2017-08-12 00:00:00.000,2021-10-21 00:00:00.000
000002.SZ,23,2018-02-13 00:00:00.000,2020-04-28 00:00:00.000
000039.SZ,31,2017-01-19 00:00:00.000,2026-04-30 00:00:00.000
000063.SZ,30,2017-03-27 00:00:00.000,2022-04-26 00:00:00.000
000066.SZ,28,2017-09-01 00:00:00.000,2024-11-03 00:00:00.000
000069.SZ,4,2019-01-08 00:00:00.000,2020-04-29 00:00:00.000
000100.SZ,2,2024-07-09 00:00:00.000,2024-09-02 00:00:00.000
000157.SZ,55,2017-03-31 00:00:00.000,2026-04-29 00:00:00.000
000301.SZ,9,2023-02-16 00:00:00.000,2026-04-30 00:00:00.000
000333.SZ,4,2017-05-23 00:00:00.000,2018-04-22 00:00:00.000
000338.SZ,26,2017-01-18 00:00:00.000,2026-05-06 00:00:00.000
000400.SZ,15,2017-03-27 00:00:00.000,2026-04-13 00:00:00.000
000401.SZ,5,2022-04-21 00:00:00.000,2025-09-03 00:00:00.000
000408.SZ,11,2024-03-25 00:00:00.000,2026-08-11 00:00:00.000
000423.SZ,9,2017-03-13 00:00:00.000,2026-03-24 00:00:00.000
000425.SZ,21,2018-08-31 00:00:00.000,2026-04-30 00:00:00.000
000503.SZ,2,2024-10-15 00:00:00.000,2024-10-27 00:00:00.000
000568.SZ,30,2017-08-20 00:00:00.000,2025-11-01 00:00:00.000
000596.SZ,25,2020-01-20 00:00:00.000,2026-04-29 00:00:00.000
000598.SZ,12,2017-11-30 00:00:00.000,2026-04-30 00:00:00.000
000625.SZ,74,2017-03-14 00:00:00.000,2026-04-28 00:00:00.000
000656.SZ,10,2018-07-27 00:00:00.000,2020-04-14 00:00:00.000
000657.SZ,3,2026-02-13 00:00:00.000,2026-07-14 00:00:00.000
000661.SZ,34,2017-03-01 00:00:00.000,2023-08-27 00:00:00.000
000703.SZ,14,2017-04-19 00:00:00.000,2026-08-13 00:00:00.000
000708.SZ,4,2020-11-19 00:00:00.000,2022-10-27 00:00:00.000
000725.SZ,11,2017-09-07 00:00:00.000,2024-11-02 00:00:00.000
000728.SZ,1,2017-08-24 00:00:00.000,2017-08-24 00:00:00.000
