period,cost,cycle,entry_date,exit_date,calendar_trading_rows,first_day_pnl,first_five_days_pnl,later_days_pnl,net_profit
evaluation,BASE,17,2022-08-05,2022-09-05,22,89.39999999996508,2877.6152999999467,-5404.406239999982,-2526.7909400000353
evaluation,BASE,18,2022-09-21,2022-10-12,11,-38.600000000034925,-58.100000000034925,-292.29999999998836,-350.4000000000233
evaluation,BASE,19,2022-10-27,2022-11-07,8,-96.79999999998836,-12.200000000011642,122.80000000004657,110.60000000003492
evaluation,BASE,20,2023-01-17,2023-01-19,3,-375.80160000000615,-1366.3577599999844,0.0,-1366.3577599999844
evaluation,BASE,21,2023-04-03,2023-04-13,8,1689.2163000000292,3100.716300000029,-1737.231519999972,1363.484780000057
evaluation,BASE,22,2023-05-29,2023-06-12,11,-49.20000000001164,0.09999999997671694,-47.5,-47.40000000002328
evaluation,BASE,23,2023-08-23,2023-09-05,10,-79.80000000004657,74.89999999996508,78.29999999998836,153.19999999995343
evaluation,BASE,24,2023-10-18,2023-11-01,11,-48.20000000001164,-278.5999999999767,227.20000000001164,-51.399999999965075
evaluation,BASE,25,2023-11-29,2023-12-13,11,-59.0,-239.0,32.0,-207.0
evaluation,BASE,26,2024-02-19,2024-02-26,6,315.51488000003155,6806.04058000003,-316.42952000000514,6489.611060000025
evaluation,BASE,27,2024-03-05,2024-05-27,55,2998.6237800000235,4956.1237800000235,1060.395760000043,6016.519540000067
evaluation,BASE,28,2024-06-04,2024-07-19,33,42.5,-73.39999999996508,-294.77086000004783,-368.1708600000129
evaluation,BASE,29,2024-08-02,2024-08-07,4,-1032.5599200000288,-4154.883380000014,0.0,-4154.883380000014
evaluation,BASE,30,2024-08-28,2024-09-20,16,-1288.4356799999368,-2357.0356799999718,-8307.455659999978,-10664.49133999995
evaluation,BASE,31,2024-09-25,2024-10-08,5,-1353.9123000000254,74437.34555999999,0.0,74437.34555999999
evaluation,BASE,32,2024-10-09,2024-10-23,11,-6938.297599999991,-9304.29759999999,2681.6572199999937,-6622.640379999997
evaluation,BASE,33,2025-01-08,2025-01-22,11,-0.7999999999883585,66.39999999996508,11.800000000046566,78.20000000001164
evaluation,BASE,34,2025-04-09,2025-04-24,12,4266.287499999977,10419.112139999983,2571.284800000023,12990.396940000006
evaluation,BASE,35,2025-06-03,2025-07-30,42,154.3555199999828,965.7278599999845,21723.536920000042,22689.264780000027
evaluation,BASE,36,2025-09-05,2025-09-16,8,8319.091139999975,17127.69113999995,-2247.0670399999944,14880.624099999957
evaluation,BASE,37,2025-11-26,2025-12-08,9,41.0,121.0,79.0,200.0
evaluation,BASE,38,2025-12-19,2026-02-10,36,257.213219999976,6153.163119999983,3055.039240000071,9208.202360000054
evaluation,BASE,39,2026-03-25,2026-04-09,11,63.20000000001164,-117.0,222.40000000002328,105.40000000002328
evaluation,BASE,40,2026-05-06,2026-05-19,10,1346.5571399999899,6695.657139999967,-8821.956000000006,-2126.298860000039
evaluation,BASE,41,2026-06-05,2026-06-24,13,-5570.599040000001,-12893.799039999954,15802.72219999996,2908.9231600000057
evaluation,BASE,42,2026-07-21,2026-08-04,11,219.70000000001164,-1523.71179999999,-9085.672999999952,-10609.384799999942
evaluation,BASE,43,2026-08-07,2026-08-14,6,2442.962899999926,1133.9628999999259,241.16539999999804,1375.128299999924
evaluation,STRESS,1,2020-01-02,2020-01-22,15,925.2900000000081,-523.7099999999919,-1111.8200399999914,-1635.5300399999833
evaluation,STRESS,2,2020-02-05,2020-03-03,20,576.9983999999822,5064.998399999982,4075.8162400000147,9140.814639999997
evaluation,STRESS,3,2020-03-23,2020-04-07,11,-30.20000000001164,206.29999999998836,67.79999999998836,274.0999999999767
evaluation,STRESS,4,2020-07-01,2020-07-08,6,2232.2112000000197,23648.286200000002,-385.89543999999296,23262.39076000001
evaluation,STRESS,5,2020-08-19,2020-10-09,32,-1247.2012800000084,-732.8160799999896,-1924.9457199999888,-2657.7617999999784
evaluation,STRESS,6,2020-12-15,2021-01-20,26,348.7476799999713,4577.947679999983,20380.903120000003,24958.850799999986
evaluation,STRESS,7,2021-02-03,2021-02-19,8,-109.33076000001165,1484.5692399999825,321.13312000001315,1805.7023599999957
evaluation,STRESS,8,2021-03-11,2021-03-25,11,113.79999999998836,74.20000000001164,-239.0,-164.79999999998836
evaluation,STRESS,9,2021-06-08,2021-07-22,32,-140.3304000000062,-1740.5244799999637,-4168.417359999992,-5908.941839999956
evaluation,STRESS,10,2021-07-29,2021-08-12,11,1.9468800000031479,6745.046880000009,752.9668800000218,7498.013760000031
evaluation,STRESS,11,2021-10-29,2021-12-14,33,305.4136399999843,-21.289560000004712,7659.576000000059,7638.286440000054
evaluation,STRESS,12,2022-01-10,2022-01-24,11,19.70000000001164,-133.70000000001164,41.79999999998836,-91.90000000002328
evaluation,STRESS,13,2022-01-27,2022-02-17,11,-107.20000000001164,-82.0,-65.20000000001164,-147.20000000001164
evaluation,STRESS,14,2022-03-11,2022-03-16,4,113.5,-314.5,0.0,-314.5
evaluation,STRESS,15,2022-04-25,2022-05-12,11,-222.59999999997672,100.59999999997672,-107.39999999996508,-6.7999999999883585
evaluation,STRESS,16,2022-05-13,2022-06-13,21,-170.4729599999846,-454.4027200000128,5777.544839999988,5323.142119999975
evaluation,STRESS,17,2022-08-05,2022-09-05,22,86.20000000001164,2677.031480000005,-5493.334639999957,-2816.303159999952
evaluation,STRESS,18,2022-09-21,2022-10-12,11,-41.79999999998836,-61.0,-276.79999999998836,-337.79999999998836
evaluation,STRESS,19,2022-10-27,2022-11-07,8,-95.09999999997672,-15.5,112.29999999998836,96.79999999998836
evaluation,STRESS,20,2023-01-17,2023-01-19,3,-504.180159999989,-1611.0035199999693,0.0,-1611.0035199999693
evaluation,STRESS,21,2023-04-03,2023-04-13,8,1482.1652000000468,2869.2652000000235,-1890.8165600000066,978.4486400000169
evaluation,STRESS,22,2023-05-29,2023-06-12,11,-52.59999999997672,-3.2999999999883585,-50.90000000002328,-54.20000000001164
evaluation,STRESS,23,2023-08-23,2023-09-05,10,-83.20000000001164,71.5,74.90000000002328,146.40000000002328
evaluation,STRESS,24,2023-10-18,2023-11-01,11,-49.20000000001164,-275.6000000000349,215.10000000003492,-60.5
evaluation,STRESS,25,2023-11-29,2023-12-13,11,-62.59999999997672,-242.59999999997672,31.0,-211.59999999997672
evaluation,STRESS,26,2024-02-19,2024-02-26,6,242.18487999995705,6477.868640000001,-489.13856000005035,5988.73007999995
evaluation,STRESS,27,2024-03-05,2024-05-27,55,2733.4963199999765,4653.496319999977,801.3328800000018,5454.829199999978
evaluation,STRESS,28,2024-06-04,2024-07-19,33,38.70000000001164,-77.19999999995343,-663.4649600000703,-740.6649600000237
evaluation,STRESS,29,2024-08-02,2024-08-07,4,-1176.6784000000334,-4383.565200000012,0.0,-4383.565200000012
evaluation,STRESS,30,2024-08-28,2024-09-20,16,-1473.4728799999575,-2517.372879999981,-8325.815319999994,-10843.188199999975
evaluation,STRESS,31,2024-09-25,2024-10-08,5,-1519.5913999999757,71862.77960000001,0.0,71862.77960000001
evaluation,STRESS,32,2024-10-09,2024-10-23,11,-6823.814799999993,-9126.114799999981,2538.064000000013,-6588.050799999968
evaluation,STRESS,33,2025-01-08,2025-01-22,11,-5.0,64.09999999997672,0.6000000000349246,64.70000000001164
evaluation,STRESS,34,2025-04-09,2025-04-24,12,3983.6403199999477,9893.790559999936,2260.5728800000506,12154.363439999986
evaluation,STRESS,35,2025-06-03,2025-07-30,42,104.60599999997066,892.460000000021,20347.925760000013,21240.385760000034
evaluation,STRESS,36,2025-09-05,2025-09-16,8,7826.048999999999,16359.048999999999,-2402.650600000052,13956.398399999947
evaluation,STRESS,37,2025-11-26,2025-12-08,9,37.0,117.0,75.0,192.0
evaluation,STRESS,38,2025-12-19,2026-02-10,36,68.91119999991497,5730.651239999919,2576.2290399999474,8306.880279999867
evaluation,STRESS,39,2026-03-25,2026-04-09,11,55.90000000002328,-114.20000000001164,215.5,101.29999999998836
evaluation,STRESS,40,2026-05-06,2026-05-19,10,1086.7255199999781,6248.225519999978,-8731.309240000031,-2483.0837200000533
evaluation,STRESS,41,2026-06-05,2026-06-24,13,-5611.054639999988,-12685.854639999976,15039.346640000003,2353.4920000000275
evaluation,STRESS,42,2026-07-21,2026-08-04,11,205.0,-1660.5070399999386,-8922.474999999977,-10582.982039999915
evaluation,STRESS,43,2026-08-07,2026-08-14,6,2184.0238800000516,923.4238800000167,63.442559999995865,986.8664400000125
earlier_diagnostic,BASE,1,2015-01-05,2015-05-18,89,2088.8651600000157,-1473.8395199999795,41060.15862,39586.31910000002
earlier_diagnostic,BASE,2,2015-06-03,2015-06-29,18,-395.0671199999924,864.9328799999785,-4500.910319999966,-3635.977439999988
earlier_diagnostic,BASE,3,2015-08-27,2015-09-14,11,245.79999999998836,449.6000000000058,38.19999999998254,487.79999999998836
earlier_diagnostic,BASE,4,2015-09-29,2015-12-30,62,-533.5523600000306,19654.414560000005,10164.967059999995,29819.38162
earlier_diagnostic,BASE,5,2016-01-13,2016-01-27,11,-153.0,-51.0,-531.0,-582.0
earlier_diagnostic,BASE,6,2016-05-03,2016-07-29,62,3597.0166800000006,-8164.383320000023,12111.357260000019,3946.973939999996
earlier_diagnostic,BASE,7,2016-09-07,2016-10-11,18,-289.75766000006115,-7294.0576600000495,3263.5576,-4030.5000600000494
earlier_diagnostic,BASE,8,2017-02-13,2017-02-28,12,1267.846440000052,257.7464400000754,1312.314160000009,1570.0606000000844
earlier_diagnostic,BASE,9,2017-05-10,2017-05-17,6,-33.5,152.70000000001164,-16.400000000023283,136.29999999998836
earlier_diagnostic,BASE,10,2017-05-18,2017-08-15,62,-402.15815999999177,1297.0418399999617,25439.61082000006,26736.65266000002
earlier_diagnostic,BASE,11,2017-10-23,2017-12-29,50,382.88192000001436,6859.681920000003,505.30572000000393,7364.987640000007
earlier_diagnostic,BASE,12,2018-01-12,2018-01-23,8,1035.982539999939,3730.682540000009,3699.695000000007,7430.377540000016
earlier_diagnostic,BASE,13,2018-02-13,2018-03-07,12,519.7936799999443,11501.874919999973,-3877.965739999956,7623.909180000017
earlier_diagnostic,BASE,14,2018-03-28,2018-04-13,11,-93.0,-41.0,105.0,64.0
earlier_diagnostic,BASE,15,2018-04-19,2018-05-07,11,83.20000000001164,101.0,-109.39999999996508,-8.399999999965075
earlier_diagnostic,BASE,16,2018-06-25,2018-06-28,4,-141.5,-449.9000000000233,0.0,-449.9000000000233
earlier_diagnostic,BASE,17,2018-10-09,2018-10-22,10,-89.97899999999208,-14396.88241999998,3419.4495999999926,-10977.432819999987
earlier_diagnostic,BASE,18,2018-12-25,2019-01-10,11,11.800000000046566,-129.79999999998836,259.0,129.20000000001164
earlier_diagnostic,BASE,19,2019-02-28,2019-03-07,6,-398.27951999998186,11835.365519999992,-566.8888000000152,11268.476719999977
earlier_diagnostic,BASE,20,2019-04-30,2019-05-07,3,7.0,-418.0,0.0,-418.0
earlier_diagnostic,BASE,21,2019-05-31,2019-06-26,18,-985.2091200000723,-6128.409120000084,18535.646460000076,12407.237339999992
earlier_diagnostic,BASE,22,2019-08-20,2019-09-30,29,-835.7985600000247,-1534.1985599999898,5436.151279999991,3901.952720000001
earlier_diagnostic,BASE,23,2019-11-12,2019-12-10,21,-233.7573599999887,519.5426399999997,-2243.6096000000252,-1724.0669600000256
earlier_diagnostic,BASE,24,2019-12-30,2019-12-31,2,5359.292039999971,4552.646999999997,0.0,4552.646999999997
earlier_diagnostic,STRESS,1,2015-01-05,2015-05-18,89,2018.9097600000096,-1568.5068800000008,40602.11280000003,39033.60592000003
earlier_diagnostic,STRESS,2,2015-06-03,2015-06-29,18,-428.9443199999805,831.0556800000195,-4524.215200000006,-3693.1595199999865
earlier_diagnostic,STRESS,3,2015-08-27,2015-09-14,11,242.0,445.6000000000058,34.60000000000582,480.20000000001164
earlier_diagnostic,STRESS,4,2015-09-29,2015-12-30,62,-581.5910399999993,19437.205920000008,9946.38983999996,29383.595759999967
earlier_diagnostic,STRESS,5,2016-01-13,2016-01-27,11,-157.0,-55.0,-533.0,-588.0
earlier_diagnostic,STRESS,6,2016-05-03,2016-07-29,62,3404.3587599999737,-8334.55124000003,11559.799599999998,3225.2483599999687
earlier_diagnostic,STRESS,7,2016-09-07,2016-10-11,18,-498.96896000002744,-7476.568960000033,3042.7795199999528,-4433.7894400000805
earlier_diagnostic,STRESS,8,2017-02-13,2017-02-28,12,1049.7872000000207,48.787200000020675,1097.0444799999823,1145.831680000003
earlier_diagnostic,STRESS,9,2017-05-10,2017-05-17,6,-37.29999999998836,148.89999999996508,-20.199999999953434,128.70000000001164
earlier_diagnostic,STRESS,10,2017-05-18,2017-08-15,62,-586.1201199999778,1096.2798800000455,24987.536319999956,26083.8162
earlier_diagnostic,STRESS,11,2017-10-23,2017-12-29,50,174.98207999998704,6581.38208000001,263.4402799999807,6844.822359999991
earlier_diagnostic,STRESS,12,2018-01-12,2018-01-23,8,868.6833999999799,3533.68339999998,3498.448640000017,7032.132039999997
earlier_diagnostic,STRESS,13,2018-02-13,2018-03-07,12,357.5969599999953,11150.67664000002,-4013.5514400000684,7137.125199999951
earlier_diagnostic,STRESS,14,2018-03-28,2018-04-13,11,-92.40000000002328,-48.199999999953434,95.70000000001164,47.50000000005821
earlier_diagnostic,STRESS,15,2018-04-19,2018-05-07,11,75.0,101.0,-105.0,-4.0
earlier_diagnostic,STRESS,16,2018-06-25,2018-06-28,4,-145.70000000001164,-442.6000000000349,0.0,-442.6000000000349
earlier_diagnostic,STRESS,17,2018-10-09,2018-10-22,10,-177.314560000028,-14455.119000000006,3206.446799999976,-11248.67220000003
earlier_diagnostic,STRESS,18,2018-12-25,2019-01-10,11,7.0,-134.60000000003492,254.20000000001164,119.59999999997672
earlier_diagnostic,STRESS,19,2019-02-28,2019-03-07,6,-513.8201600000029,11417.842999999993,-756.0827200000058,10661.760279999988
earlier_diagnostic,STRESS,20,2019-04-30,2019-05-07,3,2.6000000000349246,-405.20000000001164,0.0,-405.20000000001164
earlier_diagnostic,STRESS,21,2019-05-31,2019-07-04,24,-1176.3842399999849,-6234.284240000008,28082.27304,21847.988799999992
earlier_diagnostic,STRESS,22,2019-08-20,2019-09-30,29,-887.0009999999893,-1476.5009999999893,4205.283400000015,2728.7824000000255
earlier_diagnostic,STRESS,23,2019-11-12,2019-12-10,21,-471.49216000002343,281.3078399999649,-2493.6578399999416,-2212.3499999999767
earlier_diagnostic,STRESS,24,2019-12-30,2019-12-31,2,5166.355680000037,4120.956000000064,0.0,4120.956000000064
