period,cost,cycle,entry_date,exit_date,calendar_trading_rows,first_day_pnl,first_five_days_pnl,later_days_pnl,net_profit
evaluation,BASE,1,2020-01-02,2020-01-22,15,1042.2615599999845,-406.73844000001554,-970.5256400000071,-1377.2640800000227
evaluation,BASE,2,2020-02-05,2020-03-03,20,670.0366799999902,5171.636679999996,4178.11460000003,9349.751280000026
evaluation,BASE,3,2020-03-23,2020-04-07,11,-27.39999999999418,209.30000000001746,60.69999999998254,270.0
evaluation,BASE,4,2020-07-01,2020-07-08,6,2321.233199999988,23879.17769999997,-259.2543199999782,23619.923379999993
evaluation,BASE,5,2020-08-19,2020-10-09,32,-1208.491800000018,-669.7999600000039,-1773.4947199999879,-2443.294679999992
evaluation,BASE,6,2020-12-15,2021-01-20,26,481.7912399999623,4716.09123999998,20654.043019999954,25370.134259999933
evaluation,BASE,7,2021-02-03,2021-02-19,8,-77.76076000000467,1516.1392399999895,353.06193999998504,1869.2011799999746
evaluation,BASE,8,2021-03-11,2021-03-25,11,117.39999999999418,77.80000000001746,-236.60000000000582,-158.79999999998836
evaluation,BASE,9,2021-06-08,2021-07-22,32,-131.0,-1556.1607999999833,-3718.613880000019,-5274.774680000002
evaluation,BASE,10,2021-07-29,2021-08-12,11,154.6035199999751,6964.203519999981,966.2459600000293,7930.44948000001
evaluation,BASE,11,2021-10-29,2021-12-14,33,341.1122000000032,32.816359999997076,8146.154739999998,8178.971099999995
evaluation,BASE,12,2022-01-10,2022-01-24,11,22.29999999998836,-131.09999999997672,44.399999999965075,-86.70000000001164
evaluation,BASE,13,2022-01-27,2022-02-17,11,-104.40000000002328,-79.20000000001164,-62.399999999965075,-141.59999999997672
evaluation,BASE,14,2022-03-11,2022-03-16,4,116.5,-308.5,0.0,-308.5
evaluation,BASE,15,2022-04-25,2022-05-12,11,-219.40000000002328,103.79999999998836,-104.20000000001164,-0.40000000002328306
evaluation,BASE,16,2022-05-13,2022-06-13,21,-129.3305999999866,-296.58831999998074,6300.264079999994,6003.675760000013
