cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return,period,cost
1,2020-02-05,2020-02-04 00:00:00,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18,1,1,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,evaluation,BASE
2,2020-07-01,2020-06-30 00:00:00,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10,1,1,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,evaluation,BASE
3,2020-08-19,2020-08-18 00:00:00,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17,1,1,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,evaluation,BASE
4,2021-01-05,2021-01-04 00:00:00,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12,1,1,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,evaluation,BASE
5,2021-02-03,2021-02-02 00:00:00,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12,1,1,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,evaluation,BASE
6,2021-06-08,2021-06-07 00:00:00,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30,1,1,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,evaluation,BASE
7,2021-10-28,2021-10-28 14:31:00,228088.80864,1894.2000000000116,91.54068000000001,277.2000000000105,0.0,17,1,1,2021-11-22,2021-11-19,False,1525.459320000001,0.006688005996855739,evaluation,BASE
8,2021-11-25,2021-11-24 00:00:00,230092.00920000003,3680.0,92.69920000000002,276.00000000001046,0.0,10,1,1,2021-12-09,2021-12-08,False,3311.3007999999895,0.014391202943174565,evaluation,BASE
9,2022-05-12,2022-05-12 14:31:00,233804.7516,7020.999999999971,94.84840000000001,294.9999999999675,0.0,7,1,1,2022-05-23,2022-05-20,False,6631.151600000004,0.028361919741241068,evaluation,BASE
10,2022-06-07,2022-06-07 14:31:00,240152.22084,2009.000000000029,96.3746,344.40000000001305,0.0,2,1,1,2022-06-09,2022-06-08,False,1568.225400000016,0.006530130741721672,evaluation,BASE
11,2022-08-09,2022-08-09 14:31:00,241817.15376,1377.6000000000058,96.91416000000001,344.39999999996206,0.0,10,1,1,2022-08-23,2022-08-22,False,936.2858400000437,0.0038718751976102314,evaluation,BASE
12,2024-02-08,2024-02-08 14:31:00,242851.0605,9280.0,98.91900000000001,290.00000000003246,0.0,5,1,1,2024-02-23,2024-02-22,False,8891.080999999967,0.036611250458179354,evaluation,BASE
13,2024-06-18,2024-06-17 00:00:00,251816.25318000003,-567.2000000000116,100.53620000000001,283.60000000000025,0.0,22,1,1,2024-07-18,2024-07-17,False,-951.3362000000119,-0.0037778983206456897,evaluation,BASE
14,2024-08-01,2024-08-01 14:31:00,250693.52868000002,-4026.4000000000233,99.39456000000001,287.60000000000025,0.0,3,1,1,2024-08-06,2024-08-05,False,-4413.394560000023,-0.017604740669766313,evaluation,BASE
15,2024-08-27,2024-08-27 14:31:00,246278.24580000003,-5767.0,97.27980000000001,292.0000000000002,0.0,9,1,1,2024-09-09,2024-09-06,False,-6156.2798,-0.024997253736326552,evaluation,BASE
16,2024-09-24,2024-09-24 14:31:00,240272.44488000002,41207.399999999965,104.26104000000001,350.99999999996135,0.0,4,1,1,2024-09-30,2024-09-27,False,40752.138960000004,0.16960804215544967,evaluation,BASE
17,2025-04-09,2025-04-09 14:31:00,280772.1432,8120.5,113.8509,298.0000000000003,0.0,9,1,1,2025-04-22,2025-04-21,False,7708.6491,0.027455177754258066,evaluation,BASE
18,2025-05-30,2025-05-30 14:31:00,288595.90764,-3863.7000000000116,114.58422000000002,291.60000000000025,6415.2,12,1,1,2025-06-18,2025-06-17,False,2145.3157799999876,0.007433632020437709,evaluation,BASE
19,2025-12-18,2025-12-18 14:31:00,290624.01318,14220.899999999965,118.99602000000002,372.6000000000141,0.0,19,1,1,2026-01-16,2026-01-15,False,13729.30397999995,0.04724077625167405,evaluation,BASE
20,2026-04-30,2026-04-30 14:31:00,304707.72936000006,4101.5,122.60330000000002,378.5999999999583,0.0,3,1,1,2026-05-08,2026-05-07,False,3600.2967000000417,0.011815573919184814,evaluation,BASE
21,2026-05-12,2026-05-12 14:31:00,307829.5536,-6572.0,121.7184,372.0000000000141,0.0,4,1,1,2026-05-18,2026-05-15,False,-7065.718400000014,-0.022953346478166138,evaluation,BASE
22,2026-05-27,2026-05-27 14:31:00,300533.69472,-10640.0,117.98848000000001,364.8000000000138,0.0,9,1,1,2026-06-09,2026-06-08,False,-11122.788480000014,-0.03701012124568211,evaluation,BASE
23,2026-06-22,2026-06-22 14:31:00,289845.9576000001,-6156.0,114.61560000000001,342.00000000001296,0.0,3,1,1,2026-06-25,2026-06-24,False,-6612.615600000013,-0.022814241243018153,evaluation,BASE
