cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return,period,cost
24,2026-07-22,2026-07-22 14:31:00,283036.19592,-8242.700000000012,111.47214,355.8000000000135,0.0,6,1,1,2026-07-30,2026-07-29,False,-8709.972140000025,-0.030773350778293716,evaluation,BASE
25,2026-08-06,2026-08-06 14:31:00,274414.67196000007,1982.1999999999534,110.0704,349.80000000001326,0.0,6,1,1,2026-08-14,2026-08-13,True,1522.32959999994,0.0055475517731130705,evaluation,BASE
1,2020-02-05,2020-02-04 00:00:00,199707.45104,8642.800000000017,162.99056000000002,421.6000000000238,0.0,18,1,1,2020-03-02,2020-02-28,False,8058.209439999993,0.04035006905368788,evaluation,STRESS
2,2020-07-01,2020-06-30 00:00:00,208006.36928,33380.80000000002,179.49248000000003,495.9999999999894,0.0,10,1,1,2020-07-15,2020-07-14,False,32705.307520000028,0.1572322406915098,evaluation,STRESS
3,2020-08-19,2020-08-18 00:00:00,240285.67584,-11684.100000000006,187.28084,492.9999999999895,0.0,17,1,1,2020-09-11,2020-09-10,False,-12364.380839999994,-0.051457003405534316,evaluation,STRESS
4,2021-01-05,2021-01-04 00:00:00,227553.88516,6917.399999999994,184.53232000000003,512.3999999999814,3074.3999999999996,12,1,1,2021-01-21,2021-01-20,False,9294.867680000012,0.04084688632525219,evaluation,STRESS
5,2021-02-03,2021-02-02 00:00:00,237565.38816,-4406.399999999965,188.0064,518.4000000000196,0.0,12,1,1,2021-02-26,2021-02-25,False,-5112.806399999985,-0.021521680576450455,evaluation,STRESS
6,2021-06-08,2021-06-07 00:00:00,232543.4802,-4785.099999999977,183.83564,526.799999999981,0.0,30,1,1,2021-07-21,2021-07-20,False,-5495.735639999958,-0.023633152971105995,evaluation,STRESS
7,2021-10-28,2021-10-28 14:31:00,226250.86416,1877.8000000000175,181.49624,457.9999999999902,0.0,17,1,1,2021-11-22,2021-11-19,False,1238.3037600000273,0.005473144885423837,evaluation,STRESS
8,2021-11-25,2021-11-24 00:00:00,228228.05472000001,3648.0,183.76800000000003,501.6000000000055,0.0,10,1,1,2021-12-09,2021-12-08,False,2962.6319999999946,0.01298101586868748,evaluation,STRESS
9,2022-05-12,2022-05-12 14:31:00,231193.64048,6937.6999999999825,187.44616000000002,524.699999999994,0.0,7,1,1,2022-05-23,2022-05-20,False,6225.553839999988,0.026927876679802294,evaluation,STRESS
10,2022-06-07,2022-06-07 14:31:00,236965.74840000004,1981.000000000029,190.06280000000004,566.0000000000382,0.0,2,1,1,2022-06-09,2022-06-08,False,1224.9371999999908,0.005169258461489916,evaluation,STRESS
11,2022-08-09,2022-08-09 14:31:00,238607.80496000004,1358.4000000000233,191.12688000000003,566.0000000000382,0.0,10,1,1,2022-08-23,2022-08-22,False,601.273119999985,0.0025199222636526153,evaluation,STRESS
12,2024-02-08,2024-02-08 14:31:00,239021.87052,9126.399999999994,194.56344,570.4000000000005,0.0,5,1,1,2024-02-23,2024-02-22,False,8361.436559999995,0.034981889070692204,evaluation,STRESS
13,2024-06-18,2024-06-17 00:00:00,247387.71552,-556.7999999999884,197.3856,556.8000000000005,0.0,22,1,1,2024-07-18,2024-07-17,False,-1310.985599999989,-0.00529931568042635,evaluation,STRESS
14,2024-08-01,2024-08-01 14:31:00,246351.30112,-3953.600000000006,195.19488,564.8000000000005,0.0,3,1,1,2024-08-06,2024-08-05,False,-4713.594880000006,-0.019133630951289234,evaluation,STRESS
15,2024-08-27,2024-08-27 14:31:00,241409.025,-5648.5,190.5618,571.9999999999687,0.0,9,1,1,2024-09-09,2024-09-06,False,-6411.0617999999695,-0.026556843929094902,evaluation,STRESS
16,2024-09-24,2024-09-24 14:31:00,234980.35456,19208.0,195.3728,548.8000000000005,0.0,3,1,1,2024-09-27,2024-09-26,False,18463.8272,0.0785760462170272,evaluation,STRESS
17,2025-04-09,2025-04-09 14:31:00,253445.3376,7324.799999999988,205.39008,537.6000000000005,0.0,9,1,1,2025-04-22,2025-04-21,False,6581.809919999988,0.02596934700920688,evaluation,STRESS
18,2025-05-30,2025-05-30 14:31:00,260276.0688,-3482.100000000006,206.53452000000001,525.6000000000005,5781.599999999999,12,1,1,2025-06-18,2025-06-17,False,1567.365479999993,0.006021934660479216,evaluation,STRESS
19,2025-12-18,2025-12-18 14:31:00,261772.56716,12801.099999999977,214.23116000000002,558.9999999999881,0.0,19,1,1,2026-01-16,2026-01-15,False,12027.86883999999,0.04594778196390741,evaluation,STRESS
20,2026-04-30,2026-04-30 14:31:00,273487.3512,3679.0,219.94760000000002,565.999999999988,0.0,3,1,1,2026-05-08,2026-05-07,False,2893.0524000000123,0.010578377344714333,evaluation,STRESS
21,2026-05-12,2026-05-12 14:31:00,276716.84248,-5904.200000000012,218.70048000000003,556.9999999999882,0.0,4,1,1,2026-05-18,2026-05-15,False,-6679.90048,-0.024139840640465524,evaluation,STRESS
22,2026-05-27,2026-05-27 14:31:00,269555.7792,-9537.5,211.52540000000002,544.9999999999884,0.0,9,1,1,2026-06-09,2026-06-08,False,-10294.02539999999,-0.038188850673322866,evaluation,STRESS
23,2026-06-22,2026-06-22 14:31:00,259540.7748,-5508.000000000029,205.122,560.9999999999609,0.0,3,1,1,2026-06-25,2026-06-24,False,-6274.12199999999,-0.02417393569405338,evaluation,STRESS
24,2026-07-22,2026-07-22 14:31:00,253123.2088,-7367.0,199.2588,529.9999999999887,0.0,6,1,1,2026-07-30,2026-07-29,False,-8096.258799999989,-0.03198544629069189,evaluation,STRESS
25,2026-08-06,2026-08-06 14:31:00,245384.91472000003,1771.3999999999942,196.7296,520.9999999999889,0.0,6,1,1,2026-08-14,2026-08-13,True,1053.6704000000052,0.004293949370124528,evaluation,STRESS
1,2015-01-05,2014-12-31 00:00:00,199812.35447999998,-16287.600000000006,76.60712000000001,221.59999999997558,1939.0000000000002,11,1,1,2015-01-20,2015-01-19,False,-14646.807119999981,-0.07330281031979952,earlier_diagnostic,BASE
2,2015-02-11,2015-02-10 00:00:00,185269.0464,68816.0,87.80160000000001,272.00000000001836,0.0,60,1,1,2015-05-15,2015-05-14,False,68456.19839999998,0.3694961448238986,earlier_diagnostic,BASE
3,2015-06-03,2015-06-02 00:00:00,253357.56138,-26514.0,95.96104,294.59999999996757,0.0,13,1,1,2015-06-23,2015-06-19,False,-26904.561039999964,-0.10619205873886267,earlier_diagnostic,BASE
4,2015-09-29,2015-09-28 00:00:00,224251.8414,38016.5,97.2305,277.99999999996936,0.0,60,1,1,2015-12-29,2015-12-28,False,37641.26950000003,0.1678526662925321,earlier_diagnostic,BASE
5,2016-05-03,2016-04-29 00:00:00,264461.18166000006,7365.599999999977,107.16948000000001,334.80000000003747,0.0,60,1,1,2016-07-28,2016-07-27,False,6923.63051999994,0.02618013909089004,earlier_diagnostic,BASE
6,2017-05-18,2017-05-17 00:00:00,270433.5759,24009.0,112.89000000000001,318.0000000000003,0.0,60,1,1,2017-08-14,2017-08-11,False,23578.11,0.08718632633367476,earlier_diagnostic,BASE
7,2018-10-09,2018-10-08 00:00:00,294858.96,-9592.0,115.9312,352.00000000000034,0.0,4,1,1,2018-10-15,2018-10-12,False,-10059.9312,-0.03411777346023333,earlier_diagnostic,BASE
8,2019-02-28,2019-02-27 00:00:00,284559.4005,-620.0,113.61500000000001,310.0000000000002,0.0,7,1,1,2019-03-11,2019-03-08,False,-1043.6150000000002,-0.0036674768015615084,earlier_diagnostic,BASE
9,2019-05-31,2019-05-30 00:00:00,283195.42776,20046.600000000035,117.20268000000002,310.8000000000003,0.0,24,1,1,2019-07-05,2019-07-04,False,19618.597320000037,0.06927582650319565,earlier_diagnostic,BASE
1,2015-01-05,2014-12-31 00:00:00,199963.15328,-16287.600000000006,153.21424000000002,443.2000000000004,1939.0000000000002,11,1,1,2015-01-20,2015-01-19,False,-14945.014240000006,-0.07473884060566464,earlier_diagnostic,STRESS
2,2015-02-11,2015-02-10 00:00:00,184733.26376,68563.0,174.9576,487.7999999999944,0.0,60,1,1,2015-05-15,2015-05-14,False,67900.24240000002,0.3675582892760126,earlier_diagnostic,STRESS
3,2015-06-03,2015-06-02 00:00:00,252522.76872,-26406.0,191.15988,537.9000000000059,0.0,13,1,1,2015-06-23,2015-06-19,False,-27135.059880000004,-0.10745589404687565,earlier_diagnostic,STRESS
4,2015-09-29,2015-09-28 00:00:00,223144.02192000003,37797.69999999998,193.3418,552.8000000000005,0.0,60,1,1,2015-12-29,2015-12-28,False,37051.55819999998,0.16604324812825788,earlier_diagnostic,STRESS
5,2016-05-03,2016-04-29 00:00:00,262784.17163999996,7312.799999999988,212.80248,664.8000000000006,0.0,60,1,1,2016-07-28,2016-07-27,False,6435.197519999987,0.024488527904244772,earlier_diagnostic,STRESS
6,2017-05-18,2017-05-17 00:00:00,268263.66256,23797.599999999977,223.792,630.4000000000005,0.0,60,1,1,2017-08-14,2017-08-11,False,22943.407999999974,0.08552558994033878,earlier_diagnostic,STRESS
7,2018-10-09,2018-10-08 00:00:00,292075.98368,-9493.900000000023,229.49108,696.8000000000006,0.0,4,1,1,2018-10-15,2018-10-12,False,-10420.191080000024,-0.03567630227145427,earlier_diagnostic,STRESS
8,2019-02-28,2019-02-27 00:00:00,281464.34072,-612.8000000000466,224.59120000000001,612.8000000000005,0.0,7,1,1,2019-03-11,2019-03-08,False,-1450.191200000047,-0.005152308801499987,earlier_diagnostic,STRESS
9,2019-05-31,2019-05-30 00:00:00,279760.05928,19788.600000000035,231.38856000000004,613.6000000000006,0.0,24,1,1,2019-07-05,2019-07-04,False,18943.611440000033,0.06771378119076024,earlier_diagnostic,STRESS
