period,cost,flat_day_checks,afternoon_requests,afternoon_fills,execution_statuses,factor_statuses,earlier_is_original_fallback,holding_closes,cycles
evaluation,BASE,1361,19,17,"{'NO_TRADE': 1342, 'FILLED': 9, 'PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE': 8, 'UNFILLED_MINUTE_CAPACITY': 2}","{'PARTIAL_ENTRY_VIEW_AVAILABLE': 748, 'WAIT_PREVIOUS_ENTRY_CONDITION_TO_DISAPPEAR': 377, 'NO_VIEW_NO_MINUTE_OBSERVATION': 226, 'WAIT_ORIGINAL_EXIT_COOLDOWN': 10}",False,259,25
evaluation,STRESS,1362,19,17,"{'NO_TRADE': 1343, 'FILLED': 11, 'PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE': 6, 'UNFILLED_MINUTE_CAPACITY': 2}","{'PARTIAL_ENTRY_VIEW_AVAILABLE': 748, 'WAIT_PREVIOUS_ENTRY_CONDITION_TO_DISAPPEAR': 378, 'NO_VIEW_NO_MINUTE_OBSERVATION': 226, 'WAIT_ORIGINAL_EXIT_COOLDOWN': 10}",False,258,25
earlier_diagnostic,BASE,919,0,0,{'NO_TRADE': 919},"{'NO_VIEW_NO_MINUTE_OBSERVATION': 522, 'WAIT_PREVIOUS_ENTRY_CONDITION_TO_DISAPPEAR': 394, 'WAIT_ORIGINAL_EXIT_COOLDOWN': 3}",True,299,9
earlier_diagnostic,STRESS,919,0,0,{'NO_TRADE': 919},"{'NO_VIEW_NO_MINUTE_OBSERVATION': 522, 'WAIT_PREVIOUS_ENTRY_CONDITION_TO_DISAPPEAR': 394, 'WAIT_ORIGINAL_EXIT_COOLDOWN': 3}",True,299,9
