period,cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,AFTERNOON_ENTRY,0.3816227640999999,0.049979830218411736,0.05180731095284379,0.07834751252386976,0.6612502335292382,-0.11791681534858828,1604,0.16122468114671828,50,2563.94718,7755.799999999974,False,6.656364348600619e-11
evaluation,BASE,REARM_RIDGE,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11
evaluation,BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11
evaluation,STRESS,AFTERNOON_ENTRY,0.23253621759999965,0.032046356715555745,0.034225566294797956,0.07353450858076949,0.4654354391612609,-0.12206428898353519,1604,0.16063534164809296,50,4870.556480000001,13299.499999999915,False,5.093170329928398e-11
evaluation,STRESS,REARM_RIDGE,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11
evaluation,STRESS,BUY_HOLD,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11
earlier_diagnostic,BASE,AFTERNOON_ENTRY,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11
earlier_diagnostic,BASE,REARM_RIDGE,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11
earlier_diagnostic,BASE,BUY_HOLD,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11
earlier_diagnostic,STRESS,AFTERNOON_ENTRY,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11
earlier_diagnostic,STRESS,REARM_RIDGE,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11
earlier_diagnostic,STRESS,BUY_HOLD,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11
