period,cost,control,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,REARM_RIDGE,-6809.022880000353,-6520.100000000035,466.40000000000146,186.22288000000026,569.1000000001859
evaluation,BASE,BUY_HOLD,23073.488579999917,47277.49999999993,-14260.400000000001,2478.21142,7465.399999999963
evaluation,STRESS,REARM_RIDGE,-27323.407200000132,-26626.699999999997,-17.599999999998545,198.20720000000074,480.8999999998796
evaluation,STRESS,BUY_HOLD,-6464.484960000002,25958.49999999997,-14908.400000000001,4699.084960000001,12815.499999999925
earlier_diagnostic,BASE,REARM_RIDGE,0.0,0.0,0.0,0.0,0.0
earlier_diagnostic,BASE,BUY_HOLD,61100.697139999975,79479.09999999999,-15124.199999999997,839.4028599999999,2414.799999999975
earlier_diagnostic,STRESS,REARM_RIDGE,0.0,0.0,0.0,0.0,0.0
earlier_diagnostic,STRESS,BUY_HOLD,57167.972680000035,78698.39999999998,-15124.199999999997,1664.72732,4741.50000000001
