period,cost,account_days,decision_origins,afternoon_checks,original_fallback_exact,terminal_liquidated
evaluation,BASE,1604,1604,1361,False,True
evaluation,STRESS,1604,1604,1362,False,True
earlier_diagnostic,BASE,1219,1219,919,True,True
earlier_diagnostic,STRESS,1219,1219,919,True,True
