date,error,partial_entry_signal,full_close_entry,partial_signal_disappeared_at_close
2021-08-12,2.886579864025407e-15,False,False,False
2021-08-13,2.7755575615628914e-15,False,False,False
2021-08-16,2.4424906541753444e-15,False,False,False
2021-08-17,3.1086244689504383e-15,False,False,False
2021-08-18,1.942890293094024e-15,False,False,False
2021-08-19,1.1657341758564144e-15,False,False,False
2021-08-20,1.4432899320127035e-15,False,False,False
2021-08-23,1.457167719820518e-16,False,False,False
2021-08-24,8.326672684688674e-16,False,False,False
2021-08-25,1.0824674490095276e-15,False,False,False
2021-08-26,8.881784197001252e-16,False,False,False
2021-08-27,5.273559366969494e-16,False,False,False
2021-08-30,1.1657341758564144e-15,False,False,False
2021-08-31,1.942890293094024e-16,False,False,False
2021-09-01,1.734723475976807e-16,False,False,False
2021-09-02,1.4432899320127035e-15,False,False,False
2021-09-03,7.494005416219807e-16,False,False,False
2021-09-06,1.1427490897997217e-16,False,False,False
2021-09-07,1.3877787807814457e-15,False,False,False
2021-09-08,2.6645352591003757e-15,False,False,False
2021-09-09,2.886579864025407e-15,False,False,False
2021-09-10,2.7755575615628914e-15,False,False,False
2021-09-13,3.4416913763379853e-15,False,False,False
2021-09-14,2.9976021664879227e-15,False,False,False
2021-09-15,2.220446049250313e-15,False,False,False
2021-09-16,1.7763568394002505e-15,False,False,False
2021-09-17,1.1657341758564144e-15,False,False,False
2021-09-22,1.0269562977782698e-15,False,False,False
2021-09-23,1.942890293094024e-15,False,False,False
2021-09-24,2.4424906541753444e-15,False,False,False
2021-09-27,1.9984014443252818e-15,False,False,False
2021-09-28,2.3314683517128287e-15,False,False,False
2021-09-29,2.886579864025407e-15,False,False,False
2021-09-30,3.4416913763379853e-15,False,False,False
2021-10-08,3.3306690738754696e-15,False,False,False
2021-10-11,2.4424906541753444e-15,False,False,False
2021-10-12,2.886579864025407e-15,False,False,False
2021-10-13,2.6645352591003757e-15,False,False,False
2021-10-14,3.219646771412954e-15,False,False,False
2021-10-15,2.7755575615628914e-15,False,False,False
2021-10-18,3.885780586188048e-15,False,False,False
2021-10-19,2.55351295663786e-15,False,False,False
2021-10-20,3.3306690738754696e-15,False,False,False
2021-10-21,2.886579864025407e-15,False,False,False
2021-10-22,2.4424906541753444e-15,False,False,False
2021-10-25,2.55351295663786e-15,False,False,False
2021-10-26,2.886579864025407e-15,False,False,False
2021-10-27,3.219646771412954e-15,False,False,False
2021-10-28,4.6629367034256575e-15,True,True,False
2021-10-29,9.103828801926284e-15,True,True,False
2021-11-01,8.43769498715119e-15,True,True,False
2021-11-02,1.1324274851176597e-14,True,True,False
2021-11-03,9.769962616701378e-15,True,True,False
2021-11-04,9.547918011776346e-15,True,True,False
2021-11-05,8.881784197001252e-15,True,True,False
2021-11-08,8.215650382226158e-15,True,True,False
2021-11-09,6.8833827526759706e-15,False,False,False
2021-11-10,6.439293542825908e-15,False,False,False
2021-11-11,4.3298697960381105e-15,False,False,False
2021-11-12,4.6629367034256575e-15,False,False,False
2021-11-15,4.9960036108132044e-15,False,False,False
2021-11-16,4.440892098500626e-15,False,False,False
2021-11-17,4.218847493575595e-15,False,False,False
2021-11-18,4.6629367034256575e-15,False,False,False
2021-11-19,6.994405055138486e-15,False,False,False
2021-11-22,7.105427357601002e-15,False,False,False
2021-11-23,6.994405055138486e-15,False,False,False
2021-11-24,9.992007221626409e-15,True,True,False
2021-11-25,9.325873406851315e-15,False,False,False
2021-11-26,7.66053886991358e-15,False,False,False
2021-11-29,7.327471962526033e-15,False,False,False
2021-11-30,1.1546319456101628e-14,True,True,False
2021-12-01,1.021405182655144e-14,True,True,False
2021-12-02,1.2212453270876722e-14,True,True,False
2021-12-03,1.3100631690576847e-14,True,True,False
2021-12-06,1.2212453270876722e-14,True,True,False
2021-12-07,1.3322676295501878e-14,True,True,False
2021-12-08,1.3766765505351941e-14,True,True,False
2021-12-09,1.3988810110276972e-14,True,True,False
2021-12-10,1.4432899320127035e-14,True,True,False
2021-12-13,1.6209256159527285e-14,True,True,False
2021-12-14,1.3988810110276972e-14,True,True,False
2021-12-15,1.2656542480726785e-14,True,True,False
2021-12-16,1.199040866595169e-14,True,True,False
2021-12-17,1.6431300764452317e-14,True,True,False
2021-12-20,1.4654943925052066e-14,True,True,False
2021-12-21,1.5765166949677223e-14,True,True,False
2021-12-22,1.4876988529977098e-14,True,True,False
2021-12-23,1.3322676295501878e-14,True,True,False
2021-12-24,1.4432899320127035e-14,True,True,False
2021-12-27,1.2212453270876722e-14,True,True,False
2021-12-28,1.2212453270876722e-14,True,True,False
2021-12-29,1.2878587085651816e-14,False,False,False
2021-12-30,8.326672684688674e-15,False,False,False
2021-12-31,9.2148511043888e-15,False,False,False
2022-01-04,8.992806499463768e-15,False,False,False
2022-01-05,7.438494264988549e-15,False,False,False
2022-01-06,6.8833827526759706e-15,False,False,False
2022-01-07,3.9968028886505635e-15,False,False,False
2022-01-10,4.052314039881821e-15,False,False,False
2022-01-11,4.440892098500626e-15,False,False,False
2022-01-12,4.551914400963142e-15,False,False,False
2022-01-13,2.942091015256665e-15,False,False,False
2022-01-14,2.7755575615628914e-16,False,False,False
2022-01-17,1.6375789613221059e-15,False,False,False
2022-01-18,1.1379786002407855e-15,False,False,False
2022-01-19,7.771561172376096e-16,False,False,False
2022-01-20,1.609823385706477e-15,False,False,False
2022-01-21,1.0685896612017132e-15,False,False,False
2022-01-24,4.85722573273506e-16,False,False,False
2022-01-25,1.0685896612017132e-15,False,False,False
2022-01-26,1.7208456881689926e-15,False,False,False
2022-01-27,5.689893001203927e-16,False,False,False
2022-01-28,1.887379141862766e-15,False,False,False
2022-02-07,4.218847493575595e-15,False,False,False
2022-02-08,5.662137425588298e-15,False,False,False
2022-02-09,6.106226635438361e-15,False,False,False
2022-02-10,4.440892098500626e-15,False,False,False
2022-02-11,4.551914400963142e-15,False,False,False
2022-02-14,8.215650382226158e-15,False,False,False
2022-02-15,7.993605777301127e-15,False,False,False
2022-02-16,6.772360450213455e-15,False,False,False
2022-02-17,6.772360450213455e-15,False,False,False
2022-02-18,6.328271240363392e-15,False,False,False
2022-02-21,3.9968028886505635e-15,False,False,False
2022-02-22,6.217248937900877e-15,False,False,False
2022-02-23,5.773159728050814e-15,False,False,False
2022-02-24,5.440092820663267e-15,False,False,False
2022-02-25,6.5503158452884236e-15,False,False,False
2022-02-28,6.5503158452884236e-15,False,False,False
2022-03-01,5.551115123125783e-15,False,False,False
2022-03-02,7.66053886991358e-15,False,False,False
2022-03-03,7.105427357601002e-15,False,False,False
2022-03-04,8.659739592076221e-15,False,False,False
2022-03-07,8.659739592076221e-15,False,False,False
2022-03-08,1.1102230246251565e-14,False,False,False
2022-03-09,1.176836406102666e-14,False,False,False
2022-03-10,1.176836406102666e-14,False,False,False
