period,cost,cycles,positive_cycles,negative_cycles,net_profit,price_pnl,dividend,commission,slippage,held_closes
evaluation,BASE,25,15,10,76324.5528199999,77140.29999999996,9504.0,2563.94718,7755.799999999974,259
evaluation,STRESS,25,15,10,46507.24352000013,55821.3,8856.0,4870.556480000001,13299.499999999915,258
earlier_diagnostic,BASE,9,5,4,103562.89138000004,105240.1,1939.0000000000002,924.4086199999999,2691.7999999999693,299
earlier_diagnostic,STRESS,9,5,4,99323.56115999991,104459.4,1939.0000000000002,1834.73884,5240.100000000004,299
