signal,kind,fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,latest_exit_index,latest_exit_date
S1_TREND_REBOUND,RIDGE,632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,72,557,2014-09-10
S1_TREND_REBOUND,RIDGE,633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,72,557,2014-09-10
S1_TREND_REBOUND,RIDGE,653,2015-02-02,2015-02-02 15:05:00,FIT_COMPLETE,10,101,636,2015-01-08
S1_TREND_REBOUND,RIDGE,668,2015-03-02,2015-03-02 15:05:00,FIT_COMPLETE,10,101,636,2015-01-08
S1_TREND_REBOUND,RIDGE,690,2015-04-01,2015-04-01 15:05:00,FIT_COMPLETE,10,101,636,2015-01-08
S1_TREND_REBOUND,RIDGE,711,2015-05-04,2015-05-04 15:05:00,FIT_COMPLETE,10,101,636,2015-01-08
S1_TREND_REBOUND,RIDGE,731,2015-06-01,2015-06-01 15:05:00,FIT_COMPLETE,11,136,714,2015-05-07
S1_TREND_REBOUND,RIDGE,752,2015-07-01,2015-07-01 15:05:00,FIT_COMPLETE,13,145,750,2015-06-29
S1_TREND_REBOUND,RIDGE,775,2015-08-03,2015-08-03 15:05:00,FIT_COMPLETE,13,145,750,2015-06-29
S1_TREND_REBOUND,RIDGE,796,2015-09-01,2015-09-01 15:05:00,FIT_COMPLETE,13,145,750,2015-06-29
S1_TREND_REBOUND,RIDGE,816,2015-10-08,2015-10-08 15:05:00,FIT_COMPLETE,14,154,803,2015-09-14
S1_TREND_REBOUND,RIDGE,833,2015-11-02,2015-11-02 15:05:00,FIT_COMPLETE,14,154,803,2015-09-14
S1_TREND_REBOUND,RIDGE,854,2015-12-01,2015-12-01 15:05:00,FIT_COMPLETE,14,154,803,2015-09-14
S1_TREND_REBOUND,RIDGE,877,2016-01-04,2016-01-04 15:05:00,FIT_COMPLETE,15,156,857,2015-12-04
S1_TREND_REBOUND,RIDGE,897,2016-02-01,2016-02-01 15:05:00,FIT_COMPLETE,16,165,894,2016-01-27
