period,model,net_sharpe,annualized_return,trade_count,terminal_delta,market_pnl_delta,dividend_delta,additional_friction,reentries_without_original_condition_reset
evaluation,S1_TREND_REBOUND__RIDGE,0.11992578465431812,0.006785871994890112,132,-62479.52056000021,-57590.400000000096,-3912.8999999999996,976.2205600000198,1
evaluation,S1_TREND_REBOUND__TREE,0.31967031385161104,0.02520163318494618,132,-35777.326540000184,-29649.800000000017,-3755.3999999999996,2372.126539999983,1
evaluation,R2_Z_CONFIRM__RIDGE,0.07038643473741452,0.002375668128674563,52,-30370.612880000117,-27088.600000000006,-3750.0,-467.9871199999161,0
evaluation,R2_Z_CONFIRM__TREE,0.09455818296547917,0.0035732649869976542,52,-28756.291980000038,-25568.90000000008,-3750.0,-562.6080199999706,1
evaluation,D60_INTRA__RIDGE,0.06101653725461958,0.0010429884269780242,144,-82624.06013999984,-62063.900000000176,-3609.2000000000007,16950.960139999763,52
evaluation,D60_INTRA__TREE,0.1651369407608104,0.011018319649775503,188,-68943.97408000013,-36746.89999999995,-7106.300000000001,25090.774080000076,70
earlier_diagnostic,S1_TREND_REBOUND__RIDGE,0.14116701495721656,0.008755985917620912,90,-22996.755140000023,-16137.899999999907,-4008.0999999999995,2850.7551400000702,1
earlier_diagnostic,S1_TREND_REBOUND__TREE,0.3920536633913539,0.031348266554220745,94,1669.1676800002751,12963.000000000073,-6528.9,4764.93232,2
earlier_diagnostic,R2_Z_CONFIRM__RIDGE,-0.06716132453133254,-0.00822135800264544,26,3647.48113999996,3663.6999999999825,0.0,16.218859999974484,0
earlier_diagnostic,R2_Z_CONFIRM__TREE,-0.13370086770428244,-0.013476814789920539,26,-1419.0312400000112,-1419.3999999999942,0.0,-0.3687600000002931,0
earlier_diagnostic,D60_INTRA__RIDGE,0.48961692677363894,0.06517384464967012,38,-4427.194879999908,-3427.2000000000553,0.0,999.9948799999211,13
earlier_diagnostic,D60_INTRA__TREE,0.4862772535106518,0.06474042169691033,50,-4990.151939999836,-1927.4000000000378,0.0,3062.7519399999937,18
