period,cost,model,holding_decision_rows,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips
evaluation,BASE,S1_TREND_REBOUND__RIDGE,250,250,0,37,66
evaluation,BASE,S1_TREND_REBOUND__TREE,236,236,0,44,66
evaluation,BASE,R2_Z_CONFIRM__RIDGE,142,142,0,14,26
evaluation,BASE,R2_Z_CONFIRM__TREE,134,134,0,15,26
evaluation,BASE,D60_INTRA__RIDGE,499,499,0,68,72
evaluation,BASE,D60_INTRA__TREE,387,387,0,90,94
evaluation,STRESS,S1_TREND_REBOUND__RIDGE,250,250,0,37,66
evaluation,STRESS,S1_TREND_REBOUND__TREE,229,229,0,45,66
evaluation,STRESS,R2_Z_CONFIRM__RIDGE,143,143,0,13,26
evaluation,STRESS,R2_Z_CONFIRM__TREE,134,134,0,15,26
evaluation,STRESS,D60_INTRA__RIDGE,499,499,0,68,72
evaluation,STRESS,D60_INTRA__TREE,387,387,0,90,94
earlier_diagnostic,BASE,S1_TREND_REBOUND__RIDGE,182,179,3,31,45
earlier_diagnostic,BASE,S1_TREND_REBOUND__TREE,167,164,3,34,47
earlier_diagnostic,BASE,R2_Z_CONFIRM__RIDGE,87,9,78,3,13
earlier_diagnostic,BASE,R2_Z_CONFIRM__TREE,87,9,78,3,13
earlier_diagnostic,BASE,D60_INTRA__RIDGE,645,286,359,6,19
earlier_diagnostic,BASE,D60_INTRA__TREE,648,289,359,9,25
earlier_diagnostic,STRESS,S1_TREND_REBOUND__RIDGE,180,177,3,31,45
earlier_diagnostic,STRESS,S1_TREND_REBOUND__TREE,167,164,3,34,47
earlier_diagnostic,STRESS,R2_Z_CONFIRM__RIDGE,87,9,78,3,13
earlier_diagnostic,STRESS,R2_Z_CONFIRM__TREE,87,9,78,3,13
earlier_diagnostic,STRESS,D60_INTRA__RIDGE,645,286,359,6,19
earlier_diagnostic,STRESS,D60_INTRA__TREE,648,289,359,9,25
