period,cost,holding_closes,completed_cycles,buy_trades,sell_trades,unfilled_requests,no_view_origins,mean_exposure
evaluation,BASE,29,10,10,10,0,0,0.018060708382610483
evaluation,STRESS,29,10,10,10,0,0,0.01805388586584545
earlier_diagnostic,BASE,24,10,10,10,0,0,0.019628418054781133
earlier_diagnostic,STRESS,24,10,10,10,0,0,0.019626277082494505
