date,panic_budget,learned_budget,panic_sd,learned_sd,difference_variance,optimal_drawdown,selected_drawdown,optimal_budget_lower,optimal_budget_upper,linear_programs,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target
2013-06-03,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-06-03,,2013-06-03,1,0.0,0.0,0.0
2013-07-01,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-07-01,,2013-06-03,18,1.0,0.0,0.5
2013-08-01,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-08-01,,2013-06-03,41,0.0,0.0,0.0
2013-09-02,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-09-02,,2013-06-03,63,0.0,0.0,0.0
2013-10-08,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-10-08,,2013-06-03,82,0.0,0.0,0.0
2013-11-01,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-11-01,,2013-06-03,100,0.0,0.0,0.0
2013-12-02,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-12-02,,2013-06-03,121,0.0,0.0,0.0
2014-01-02,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-01-02,,2013-06-03,143,0.0,0.0,0.0
2014-02-07,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-02-07,,2013-06-03,164,0.0,0.0,0.0
2014-03-03,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-03-03,,2013-06-03,180,0.0,0.0,0.0
2014-04-01,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-04-01,,2013-06-03,201,0.0,0.0,0.0
2014-05-05,0.5,0.5,,,,,,,,0,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-05-05,,2013-06-03,222,0.0,0.0,0.0
2014-06-03,0.5,0.5,0.0022058227959976424,0.0,,,,,,0,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-06-03,,2013-06-03,242,0.0,0.0,0.0
2014-07-01,0.5,0.5,0.0018155272551401542,0.0,,,,,,0,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-07-01,,2013-07-04,242,0.0,0.0,0.0
2014-08-01,0.5,0.5,0.0,0.001163071994994563,,,,,,0,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-08-01,,2013-08-06,242,0.0,1.0,0.5
