period,cost,decisions,net_sharpe,holding_closes,price_and_dividend_profit_before_fees,commission_and_slippage,net_profit,terminal_nav_difference_vs_91
evaluation,BASE,1604,0.816715502735046,58,29743.40000000001,988.9090400000136,28754.490959999996,-20205.190420000174
evaluation,STRESS,1604,0.7937966116157527,58,29656.80000000001,1899.1806000000163,27757.61939999991,-18443.67856000003
earlier_diagnostic,BASE,1219,0.4416580268191529,279,39177.40000000001,3757.9150799999798,35419.48492000002,4047.79787999994
earlier_diagnostic,STRESS,1219,0.4027820903419231,279,38804.50000000001,7131.975360000001,31672.524639999872,3365.339839999884
