origin,panic_budget,optimal_budget_lower,optimal_budget_upper,independent_drawdown,maximum_primal_dual_residual,maximum_dual_gap
2015-07-01,0.9999999999999946,0.9999999999999946,1.0,0.034154956901538865,6.217248937900877e-15,3.4416913763379853e-15
2015-08-03,0.8946319749818685,0.8946319749818685,0.8946319749818685,0.07281266461090939,3.552713678800501e-15,3.885780586188048e-15
2015-09-01,0.8946319749818685,0.8946319749818685,0.8946319749818685,0.07281266461090939,3.774758283725532e-15,3.4416913763379853e-15
2015-10-08,0.8946319749818685,0.8946319749818683,0.8946319749818686,0.07694341635475765,1.4210854715202004e-14,2.886579864025407e-15
2015-11-02,0.8946319749818682,0.8946319749818682,0.8946319749818682,0.07694341635475767,7.105427357601002e-15,7.771561172376096e-16
2015-12-01,0.8946319749818682,0.8946319749818652,0.8946319749818702,0.07694341635475768,3.552713678800501e-15,3.552713678800501e-15
2016-01-04,0.8946319749818685,0.8946319749818685,0.8946319749818685,0.07694341635475765,3.552713678800501e-15,1.6653345369377348e-15
2016-02-01,0.8113426825945604,0.8113426825945292,0.8113426825945604,0.08747861744953447,2.1316282072803006e-14,1.4432899320127035e-14
2016-03-01,0.8113426825945508,0.8113426825945328,0.8113426825945508,0.08747861744953443,5.684341886080802e-14,1.2212453270876722e-15
2016-04-01,0.811342682594547,0.811342682594532,0.811342682594547,0.08747861744953439,5.684341886080802e-14,8.104628079763643e-15
2016-05-03,0.8113426825945467,0.8113426825945321,0.8113426825945467,0.08747861744953439,5.684341886080802e-14,7.771561172376096e-15
2016-06-01,0.8113426825945458,0.8113426825945325,0.8113426825945458,0.08747861744953442,5.684341886080802e-14,3.3306690738754696e-15
2016-07-01,0.26264222381930663,0.26264222381930663,0.26264222381930663,0.05207630660729834,1.4210854715202004e-14,3.4416913763379853e-15
2016-08-01,0.26264222381930663,0.26264222381930663,0.26264222381930663,0.052076306607298346,2.842170943040401e-14,5.88418203051333e-15
2016-09-01,0.26264222381930663,0.26264222381930663,0.26264222381930663,0.05207630660729834,5.684341886080802e-14,7.105427357601002e-15
2016-10-10,0.26264222381930663,0.2626422238193048,0.2626422238193081,0.05207630660729837,2.842170943040401e-14,1.3877787807814457e-15
2016-11-01,0.26264222381930663,0.26264222381930313,0.2626422238193081,0.052076306607298346,2.842170943040401e-14,5.551115123125783e-17
2016-12-01,0.2586623204226984,0.258662320422681,0.2586623204226984,0.05139908627430177,2.2737367544323206e-13,4.496403249731884e-15
2017-01-03,0.3702268479544791,0.3702268479544791,0.37022684795448674,0.030910639423213766,5.684341886080802e-14,1.4988010832439613e-15
2017-02-03,1.0,1.0,1.0,0.0035213727546136676,1.4210854715202004e-14,2.220446049250313e-16
2018-03-01,1.0,1.0,1.0,0.0046141832959424025,3.552713678800501e-15,8.881784197001252e-16
2018-04-02,0.617842947772736,0.6178429477727325,0.617842947772736,0.012988317304264686,7.105427357601002e-15,2.9976021664879227e-15
2018-05-02,0.617842947772736,0.6178429477727325,0.617842947772736,0.012988317304264686,7.105427357601002e-15,2.9976021664879227e-15
2018-06-01,0.6178429477727336,0.6178429477727336,0.6178429477727336,0.01298831730426464,1.4210854715202004e-14,6.661338147750939e-16
2018-07-02,0.6178429477727336,0.6178429477727336,0.6178429477727337,0.012988317304264637,1.4210854715202004e-14,1.1102230246251565e-16
2018-08-01,0.530755931551128,0.5307559315511273,0.530755931551128,0.011157570827598651,1.4210854715202004e-14,3.3306690738754696e-16
2018-11-01,-0.0,0.0,-0.0,0.03485596265691708,5.684341886080802e-14,8.881784197001252e-16
2018-12-03,-0.0,0.0,-0.0,0.03485596265691708,2.55351295663786e-14,0.0
2019-01-02,-0.0,0.0,-0.0,0.03485596265691708,2.55351295663786e-14,0.0
2019-02-01,-0.0,0.0,-0.0,0.03485596265691708,2.55351295663786e-14,6.938893903907228e-18
2019-03-01,-0.0,0.0,-0.0,0.03505239579807612,3.410605131648481e-13,3.552713678800501e-15
2019-04-01,0.1806013942421171,0.1806013942421171,0.180601394242119,0.038497781452722375,1.3322676295501878e-15,1.942890293094024e-16
2019-05-06,0.1806013942421171,0.1806013942421171,0.1806013942421195,0.038497781452722375,1.3322676295501878e-15,1.1934897514720433e-15
2019-06-03,0.1806013942421171,0.1806013942421171,0.18060139424212013,0.03882073727547213,2.842170943040401e-14,9.43689570931383e-16
2019-07-01,0.1806013942421171,0.1806013942421171,0.18060139424211907,0.042360240424410896,1.1368683772161603e-13,1.6653345369377348e-15
2019-08-01,0.1806013942421171,0.1806013942421171,0.1806013942421187,0.042360240424410896,1.1368683772161603e-13,1.304512053934559e-15
2019-09-02,0.1806013942421171,0.1806013942421171,0.18060139424211888,0.042360240424410896,5.684341886080802e-14,1.4710455076283324e-15
2019-10-08,0.19152513236293667,0.19152513236293667,0.19152513236293708,0.041742315195317854,1.4210854715202004e-14,1.1102230246251565e-16
2020-03-02,0.9705623359661785,0.9705623359661785,0.9705623359661785,0.0027986473066217094,2.2737367544323206e-13,2.453592884421596e-14
2020-04-01,1.0,1.0,1.0,0.0028735210126073353,2.1316282072803006e-14,2.220446049250313e-16
