scope,cost_scenario,period,left,right,days,mean_size,time_variation,dividend_entitlement,cost_effect,net
financial,BASE,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,1604,0.008239215228275415,0.01605589294565044,0.0,-0.0001945421698643255,0.024100566004061533
financial,BASE,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,1604,-0.0014351443300745855,0.001370213241417236,0.0,-0.0001934116283366789,-0.0002583427169940199
financial,BASE,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,BUY_HOLD,1604,-0.04280667900439802,0.02372348846067397,0.0,-0.00025429473888160175,-0.019337485282605666
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,517,0.08376196713505701,-0.00838604158190983,0.0,-0.0006035699041825497,0.0747723556489646
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,517,-0.014597032239257526,0.014395582594757775,0.0,-0.0006000623826925202,-0.0008015120271922847
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,BUY_HOLD,517,-0.05810793196518527,-0.009202793204890408,0.0,-0.0012221907844605334,-0.06853291595453617
financial,STRESS,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,1604,0.008083924585463285,0.016183076822580692,0.0,-0.00034571030856691626,0.023921291099477056
financial,STRESS,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,1604,-0.0015945427055357232,0.0014825794303996657,0.0,-0.00033623984588066077,-0.00044820312101671384
financial,STRESS,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,BUY_HOLD,1604,-0.042994443640524446,0.023848610789280484,0.0,-0.0004592770446942526,-0.019605109895938198
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,517,0.08218265862906354,-0.006893934724803311,0.0,-0.0010725712474687304,0.07421615265679148
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,517,-0.016218166840512978,0.015870799155177914,0.0,-0.0010431889995988007,-0.0013905566849338608
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,BUY_HOLD,517,-0.05977404431082472,-0.007719755558870573,0.0,-0.0021782030554924085,-0.06967200292518771
