scope,cost,period,model,start,end,days,mean_overnight_exposure_previous_nav,mean_intraday_exposure_previous_nav,mean_overnight_shares,mean_intraday_shares,mean_size_annual_arithmetic,time_variation_annual_arithmetic,dividend_entitlement_annual_arithmetic,cost_annual_arithmetic,net_annual_arithmetic,mean_size_cumulative_cny,time_variation_cumulative_cny,dividend_entitlement_cumulative_cny,cost_cumulative_cny,net_cumulative_cny
financial,BASE,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,2020-01-02,2026-08-14,1604,0.19499923535032462,0.19490484206499653,9937.90523690773,9937.90523690773,0.011011957932208721,0.021996457131386173,0.0,-0.0005078258618458007,0.0325005892017491,11249.708728179548,33451.89127182048,0.0,-771.0945600000218,43930.50544000001
financial,BASE,FULL_EVALUATION,E2_MATCHED_PRICE,2020-01-02,2026-08-14,1604,0.04909304719018431,0.049072116411965655,2096.2593516209477,2096.2593516209477,0.002772742703933311,0.005940564185735736,0.0,-0.00031328369198147524,0.008400023197687567,2372.965586034914,8752.03441396508,0.0,-425.83631999998386,10699.163680000009
financial,BASE,FULL_EVALUATION,E3_FORWARD_EPS,2020-01-02,2026-08-14,1604,0.22044214202337456,0.22032269840675003,11213.778054862843,11213.778054862843,0.01244710226228331,0.02062624388996894,0.0,-0.0003144142335091218,0.032758931918743114,12693.996758104735,31423.20324189527,0.0,-456.6788600000018,43660.52114000002
financial,BASE,FULL_EVALUATION,E4_EARNINGS_AND_PRICE_REGIME,2020-01-02,2026-08-14,1604,0.06148845642344568,0.061479060209627144,2737.905236907731,2737.905236907731,0.0034750229162842333,-0.00019655736181243712,0.0,-0.0007033729704913845,0.002575092583980409,3099.30872817955,154.59127182046404,0.0,-924.4980600000044,2329.4019400000093
financial,BASE,FULL_EVALUATION,BUY_HOLD,2020-01-02,2026-08-14,1604,0.9526549098848203,0.9523507797257528,48369.82543640898,48369.82543640898,0.05381863693660675,-0.0017270313292877906,0.0,-0.0002535311229641989,0.05183807448435476,54754.64239401497,-1127.442394014967,0.0,-376.13576000001103,53251.06424000002
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,2024-07-01,2026-08-14,517,0.6049879564834055,0.6046950999463335,30832.49516441006,30832.49516441006,0.11194821567687747,-0.009539129096594604,0.0,-0.0015755371032894858,0.10083354947699333,45046.27543520309,-344.67543520305844,0.0,-771.0945600000218,43930.505440000015
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E2_MATCHED_PRICE,2024-07-01,2026-08-14,517,0.15231189108908247,0.15224695304602112,6503.675048355899,6503.675048355899,0.028186248541820464,-0.001153087514684783,0.0,-0.0009719671991069366,0.02606119382802875,9501.869245647968,1623.130754352027,0.0,-425.8363199999838,10699.163680000009
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E3_FORWARD_EPS,2024-07-01,2026-08-14,517,0.683924943530934,0.6835543679776152,34790.90909090909,34790.90909090909,0.12654524791613497,-0.023934711691352386,0.0,-0.0009754747205969657,0.1016350615041856,50829.51818181817,-6712.318181818153,0.0,-456.6788600000018,43660.52114000002
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E4_EARNINGS_AND_PRICE_REGIME,2024-07-01,2026-08-14,517,0.19076882805262452,0.19073967616294382,8494.390715667312,8494.390715667312,0.03531565989141495,-0.025144172948721,0.0,-0.002182224844619305,0.007989262098074611,12410.304835589945,-9156.404835589929,0.0,-924.4980600000046,2329.4019400000093
financial,BASE,AFTER_FIRST_COMMON_AVAILABLE_MODEL,BUY_HOLD,2024-07-01,2026-08-14,517,0.9211374228435097,0.9190791755321455,48400.0,48306.382978723406,0.17005614764206267,-0.0003363358917042252,0.0,-0.0003533463188289525,0.16936646543152956,70518.61276595743,193.78723404255038,0.0,-191.0251200000055,70521.37487999997
financial,STRESS,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,2020-01-02,2026-08-14,1604,0.19227950988979262,0.19218713332483736,9788.092269326684,9788.092269326684,0.010858461545811595,0.02212915761313019,0.0,-0.0009010853701425715,0.03208653378879921,11080.120448877804,33564.77955112223,0.0,-1362.8539599999945,43282.04604000002
financial,STRESS,FULL_EVALUATION,E2_MATCHED_PRICE,2020-01-02,2026-08-14,1604,0.04912568998662235,0.049104366985418535,2096.2593516209477,2096.2593516209477,0.0027745369603483115,0.005946080790549501,0.0,-0.0005553750615756553,0.008165242689322156,2372.965586034914,8752.03441396508,0.0,-754.6684000000212,10370.331599999974
financial,STRESS,FULL_EVALUATION,E3_FORWARD_EPS,2020-01-02,2026-08-14,1604,0.22054779420495593,0.22042780629427167,11210.03740648379,11210.03740648379,0.012453004251347322,0.020646578182730514,0.0,-0.0005648455242619107,0.03253473690981592,12689.762344139657,31419.437655860354,0.0,-817.2379600000245,43291.962040000006
financial,STRESS,FULL_EVALUATION,E4_EARNINGS_AND_PRICE_REGIME,2020-01-02,2026-08-14,1604,0.061460060736194366,0.06144946321091463,2731.795511221945,2731.795511221945,0.003473260737470159,-0.00020802276869449297,0.0,-0.0013120327970678946,0.001953205171707771,3092.392518703242,130.9074812967715,0.0,-1722.2115200000544,1501.0884799999617
financial,STRESS,FULL_EVALUATION,BUY_HOLD,2020-01-02,2026-08-14,1604,0.9532622781788083,0.9529576170754659,48369.82543640898,48369.82543640898,0.05385290518633606,-0.001719453176150305,0.0,-0.0004418083254483188,0.05169164368473741,54754.64239401497,-1127.442394014967,0.0,-655.4715199999896,52971.72848000005
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,2024-07-01,2026-08-14,517,0.5965499687876737,0.5962633691548146,30367.698259187622,30367.698259187622,0.11038736259119937,-0.008042795606784194,0.0,-0.002795630432705386,0.09954893655170977,44367.20715667313,277.6928433269077,0.0,-1362.8539599999947,43282.04604000003
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E2_MATCHED_PRICE,2024-07-01,2026-08-14,517,0.15241316583857306,0.15234701091801034,6503.675048355899,6503.675048355899,0.028204703962135803,-0.001148860881980877,0.0,-0.0017230591852366558,0.02533278389491826,9501.869245647968,1623.130754352027,0.0,-754.6684000000212,10370.331599999969
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E3_FORWARD_EPS,2024-07-01,2026-08-14,517,0.6842527309569619,0.683880466723427,34779.30367504836,34779.30367504836,0.12660552943171235,-0.023913594761962118,0.0,-0.001752441433106586,0.10093949323664358,50812.56266924566,-6703.362669245638,0.0,-817.2379600000245,43291.96204
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E4_EARNINGS_AND_PRICE_REGIME,2024-07-01,2026-08-14,517,0.19068073002099759,0.19064785104508136,8475.435203094778,8475.435203094778,0.03529843916755161,-0.025167991001369468,0.0,-0.004070600786260934,0.006059847379921202,12382.610831721468,-9159.310831721457,0.0,-1722.2115200000544,1501.0884799999599
financial,STRESS,AFTER_FIRST_COMMON_AVAILABLE_MODEL,BUY_HOLD,2024-07-01,2026-08-14,517,0.9217073694438125,0.9196480059155042,48400.0,48306.382978723406,0.17016140690202405,-0.00032304004791361857,0.0,-0.0006174273772129781,0.16922093947689748,70518.61276595743,193.78723404255038,0.0,-333.6115199999948,70378.78847999999
