scope,cost,period,left,right,days,mean_size,time_variation,dividend_entitlement,net
financial,-0.0001945421698643255,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,1604,0.008239215228275414,0.016055892945650446,0.0,0.024100566004061522
financial,-0.0001934116283366789,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,1604,-0.0014351443300745796,0.0013702132414172379,0.0,-0.00025834271699402036
financial,-0.00025429473888160175,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,BUY_HOLD,1604,-0.04280667900439806,0.023723488460673996,0.0,-0.019337485282605666
financial,-0.0006035699041825497,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,517,0.08376196713505699,-0.008386041581909828,0.0,0.07477235564896459
financial,-0.0006000623826925202,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,517,-0.014597032239257523,0.014395582594757768,0.0,-0.0008015120271922782
financial,-0.0012221907844605334,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,BUY_HOLD,517,-0.058107931965185294,-0.009202793204890373,0.0,-0.06853291595453619
financial,-0.00034571030856691626,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,1604,0.008083924585463288,0.016183076822580685,0.0,0.02392129109947706
financial,-0.00033623984588066077,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,1604,-0.0015945427055357186,0.0014825794303996668,0.0,-0.00044820312101671145
financial,-0.0004592770446942526,FULL_EVALUATION,E1_PRICE_FORWARD_EPS,BUY_HOLD,1604,-0.04299444364052446,0.023848610789280494,0.0,-0.019605109895938198
financial,-0.0010725712474687304,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E2_MATCHED_PRICE,517,0.08218265862906354,-0.00689393472480334,0.0,0.07421615265679149
financial,-0.0010431889995988007,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,E3_FORWARD_EPS,517,-0.01621816684051297,0.015870799155177903,0.0,-0.0013905566849338623
financial,-0.0021782030554924085,AFTER_FIRST_COMMON_AVAILABLE_MODEL,E1_PRICE_FORWARD_EPS,BUY_HOLD,517,-0.059774044310824746,-0.00771975555887057,0.0,-0.06967200292518773
