cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,G1_GUOSEN_RELATION_QUALIFIED_PE,0.20553852269999753,0.02860355322659328,0.031690242226033914,0.08336483988434959,0.38013918421719717,-0.10063218503860971,1604,0.2798283523060973,12,254.59546,706.299999999984,False,5.354650056688115e-11,-0.007653918419023697,False
BASE,G2_GUOSEN_EPS_PROFIT_NO_PE,0.15015929620000176,0.02133150729114627,0.02432128116757759,0.07999180367127119,0.3040471654761862,-0.10125871226464259,1604,0.2514339633868268,12,249.94076,684.7000000000132,False,4.8203219193965197e-11,-0.014925964354470706,False
BASE,C0_ORIGINAL_GUOSEN_EPS,0.4729246066999963,0.06016599149265778,0.06364376040215372,0.10282158820621541,0.6189727421299115,-0.1237698051689185,1604,0.2955641247589512,10,277.97866,780.4999999999861,False,5.638867150992155e-11,0.0239085198470408,False
BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,G1_GUOSEN_RELATION_QUALIFIED_PE,0.20055652760000073,0.02796109559676435,0.031064179712065206,0.08335007535653804,0.3726952804683758,-0.10064254476421304,1604,0.2797384806986227,12,502.89448000000004,1330.7999999999975,False,4.0529357647756115e-11,-0.008123848916978295,False
STRESS,G2_GUOSEN_EPS_PROFIT_NO_PE,0.1451457267999994,0.020658574131621782,0.02366389560176848,0.08001357333228248,0.29574851636104826,-0.10263864181484378,1604,0.25147641864260617,11,483.85464,1293.4999999999955,False,5.275069270282984e-11,-0.015426370382120864,False
STRESS,C0_ORIGINAL_GUOSEN_EPS,0.4607840595999979,0.05884296819417061,0.06235183435638879,0.10239490952499472,0.6089349035575702,-0.12363830315961839,1604,0.2926619683356106,10,552.6880800000001,1433.3000000000097,False,5.638867150992155e-11,0.022758023680427966,False
STRESS,BUY_HOLD,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
