model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
BUY_STRENGTH_BAND00_R00,evaluation,BASE,1.254075782439347,42,592,196397.40000000005,13547.828279999874,182849.5717199999
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,1.1856791719046407,42,592,192705.30000000005,23980.496200000052,168724.80380000017
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,1.0081018615407809,23,509,112291.20000000006,6550.88110000011,105740.3188999999
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,1.014621412632958,23,515,120129.40000000004,12429.281640000041,107700.11836000002
BUY_STRENGTH_BAND00_R01,evaluation,BASE,1.0846474658469525,39,435,150923.10000000003,10410.425439999955,140512.67455999996
BUY_STRENGTH_BAND00_R01,evaluation,STRESS,1.0262138296068108,39,435,148807.7,18451.533600000086,130356.16639999993
BUY_STRENGTH_BAND00_R01,earlier_diagnostic,BASE,0.8943973793408504,19,424,86054.10000000003,5537.73331999999,80516.36668000015
BUY_STRENGTH_BAND00_R01,earlier_diagnostic,STRESS,0.9043221736272664,19,430,92860.40000000002,10325.906919999989,82534.49307999993
BUY_STRENGTH_BAND20_R00,evaluation,BASE,1.2289082565188558,42,592,197224.80000000008,12839.328039999877,184385.47196000017
BUY_STRENGTH_BAND20_R00,evaluation,STRESS,1.1640221743294978,42,592,193743.6000000001,22963.132880000052,170780.46712000028
BUY_STRENGTH_BAND20_R00,earlier_diagnostic,BASE,1.0530847472526383,23,509,116569.50000000006,6054.2544000001,110515.24559999997
BUY_STRENGTH_BAND20_R00,earlier_diagnostic,STRESS,1.0457357311939262,23,515,122182.10000000003,11730.836880000035,110451.26312000019
BUY_STRENGTH_BAND20_R01,evaluation,BASE,1.0679800381892397,39,435,153093.10000000003,10164.614399999946,142928.4856
BUY_STRENGTH_BAND20_R01,evaluation,STRESS,1.0114352636196493,39,435,151051.3,18187.15508000008,132864.14491999993
BUY_STRENGTH_BAND20_R01,earlier_diagnostic,BASE,0.8900546135390105,19,424,84508.60000000003,5032.105999999977,79476.494
BUY_STRENGTH_BAND20_R01,earlier_diagnostic,STRESS,0.8910258281728315,19,430,89999.70000000003,9649.271399999983,80350.42859999998
