model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
BUY_STRENGTH_BAND00_R00,evaluation,BASE,1,2020-01-02,2019-12-31,191110.43844000003,-1038.2999999999884,80.76408,277.8000000000105,0.0,14,2,3,2020-01-22,2020-01-21,False,-1396.864079999999,-0.007309198238475868
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2,2020-02-05,2020-02-04,125341.66332,9575.600000000024,60.44872,165.40000000001115,0.0,19,1,4,2020-03-03,2020-03-02,False,9349.751280000013,0.07459412163798955
BUY_STRENGTH_BAND00_R00,evaluation,BASE,3,2020-03-23,2020-03-20,5335.400000000001,304.90000000000055,25.0,5.999999999999961,0.0,10,2,3,2020-04-07,2020-04-03,False,273.9000000000006,0.05133635716159999
BUY_STRENGTH_BAND00_R00,evaluation,BASE,4,2020-07-01,2020-06-30,194650.4223,23981.699999999983,85.17662000000001,276.60000000000827,0.0,5,2,2,2020-07-08,2020-07-07,False,23619.923379999975,0.1213453487585882
BUY_STRENGTH_BAND00_R00,evaluation,BASE,5,2020-08-24,2020-08-21,174653.00355999998,-1170.1000000000058,85.89052,220.20000000000834,0.0,28,3,5,2020-10-09,2020-09-30,False,-1476.1905200000142,-0.008452133601543739
BUY_STRENGTH_BAND00_R00,evaluation,BASE,6,2020-12-15,2020-12-14,235431.20880000002,24003.700000000026,114.78730000000002,281.40000000001055,1814.3999999999999,25,3,5,2021-01-20,2021-01-19,False,25421.912700000015,0.10798021566289479
BUY_STRENGTH_BAND00_R00,evaluation,BASE,7,2021-02-03,2021-02-02,42312.26076,1932.7000000000044,17.29882,46.20000000000175,0.0,7,1,1,2021-02-19,2021-02-18,False,1869.2011800000028,0.044176348567199625
BUY_STRENGTH_BAND00_R00,evaluation,BASE,8,2021-03-11,2021-03-10,6037.400000000001,-141.60000000000036,10.0,7.199999999999207,0.0,10,1,1,2021-03-25,2021-03-24,False,-158.79999999999956,-0.026302713088415468
BUY_STRENGTH_BAND00_R00,evaluation,BASE,9,2021-06-10,2021-06-09,492940.73815999995,-5021.999999999985,208.85128,561.6000000000156,0.0,29,4,7,2021-07-22,2021-07-21,False,-5792.451280000001,-0.01175080660125898
BUY_STRENGTH_BAND00_R00,evaluation,BASE,10,2021-07-29,2021-07-28,251522.89452,8358.099999999948,104.54970000000002,307.7999999999684,0.0,10,1,2,2021-08-12,2021-08-11,False,7945.75029999998,0.03159056480788141
BUY_STRENGTH_BAND00_R00,evaluation,BASE,11,2021-11-01,2021-10-29,322794.61367999995,7424.400000000052,156.27928,388.7999999999759,0.0,31,6,6,2021-12-14,2021-12-13,False,6879.320720000077,0.02131175809153941
BUY_STRENGTH_BAND00_R00,evaluation,BASE,12,2022-01-10,2022-01-07,6363.3,-166.39999999999964,10.0,7.800000000000296,97.5,10,1,1,2022-01-24,2022-01-21,False,-86.69999999999993,-0.013625005893168628
BUY_STRENGTH_BAND00_R00,evaluation,BASE,13,2022-01-27,2022-01-26,6579.4,-123.19999999999891,10.0,8.400000000000318,0.0,10,1,1,2022-02-17,2022-02-16,False,-141.59999999999923,-0.021521719305711652
BUY_STRENGTH_BAND00_R00,evaluation,BASE,14,2022-03-11,2022-03-10,6351.5,-289.5,10.0,9.000000000000341,0.0,3,1,1,2022-03-16,2022-03-15,False,-308.50000000000034,-0.04857120365268052
BUY_STRENGTH_BAND00_R00,evaluation,BASE,15,2022-04-25,2022-04-22,6320.2,16.0,10.0,6.400000000000006,0.0,10,1,1,2022-05-12,2022-05-11,False,-0.4000000000000057,-6.328913641973446e-05
BUY_STRENGTH_BAND00_R00,evaluation,BASE,16,2022-05-16,2022-05-13,450496.28124,6600.600000000006,193.38064,601.999999999958,0.0,19,3,5,2022-06-13,2022-06-10,False,5805.219360000047,0.012886275873401364
BUY_STRENGTH_BAND00_R00,evaluation,BASE,17,2022-08-05,2022-08-04,244718.0165,-2047.5999999999767,115.5557,349.20000000001323,0.0,21,3,4,2022-09-05,2022-09-02,False,-2512.35569999999,-0.010266329124157437
BUY_STRENGTH_BAND00_R00,evaluation,BASE,18,2022-09-21,2022-09-20,6770.900000000001,-319.60000000000036,15.0,6.800000000000006,0.0,10,2,1,2022-10-12,2022-10-11,False,-341.4000000000004,-0.05042165738675809
BUY_STRENGTH_BAND00_R00,evaluation,BASE,19,2022-10-27,2022-10-26,6738.8,127.80000000000018,10.0,7.200000000000006,0.0,7,1,1,2022-11-07,2022-11-04,False,110.60000000000018,0.016412417641123073
BUY_STRENGTH_BAND00_R00,evaluation,BASE,20,2023-01-17,2023-01-16,198633.11867999999,-993.7999999999593,82.19248,287.4000000000109,0.0,2,1,2,2023-01-19,2023-01-18,False,-1363.39247999997,-0.006863872898237124
BUY_STRENGTH_BAND00_R00,evaluation,BASE,21,2023-04-03,2023-03-31,260254.64052000002,1888.3999999999942,107.82748000000001,385.19999999995923,0.0,7,1,2,2023-04-13,2023-04-12,False,1395.372520000035,0.005361566338306285
BUY_STRENGTH_BAND00_R00,evaluation,BASE,22,2023-05-29,2023-05-26,6567.0,-30.600000000000364,10.0,6.799999999999251,0.0,10,1,1,2023-06-12,2023-06-09,False,-47.399999999999615,-0.007217907720420224
BUY_STRENGTH_BAND00_R00,evaluation,BASE,23,2023-08-23,2023-08-22,6485.400000000001,170.0,10.0,6.800000000000761,0.0,9,1,1,2023-09-05,2023-09-04,False,153.19999999999925,0.023622290066919426
BUY_STRENGTH_BAND00_R00,evaluation,BASE,24,2023-10-18,2023-10-17,6666.8,-34.19999999999982,10.0,7.200000000000806,0.0,10,1,1,2023-11-01,2023-10-31,False,-51.400000000000624,-0.0077098458030840315
