period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,BUY_STRENGTH_BAND00_R00,592,85,122,0,0,0.18736207180897424
evaluation,BASE,BUY_STRENGTH_BAND00_R01,435,54,96,0,0,0.141150937263467
evaluation,BASE,BUY_STRENGTH_BAND20_R00,592,59,61,0,0,0.19255624878295965
evaluation,BASE,BUY_STRENGTH_BAND20_R01,435,45,52,0,0,0.1456245745600974
evaluation,STRESS,BUY_STRENGTH_BAND00_R00,592,84,125,0,0,0.18754380730218165
evaluation,STRESS,BUY_STRENGTH_BAND00_R01,435,54,97,0,0,0.14146273415984176
evaluation,STRESS,BUY_STRENGTH_BAND20_R00,592,59,61,0,0,0.1928219018332753
evaluation,STRESS,BUY_STRENGTH_BAND20_R01,435,45,52,0,0,0.14603953409553078
earlier_diagnostic,BASE,BUY_STRENGTH_BAND00_R00,509,44,72,0,0,0.2608921363825438
earlier_diagnostic,BASE,BUY_STRENGTH_BAND00_R01,424,34,65,0,0,0.2095783464462445
earlier_diagnostic,BASE,BUY_STRENGTH_BAND20_R00,509,28,33,0,0,0.26345296607392354
earlier_diagnostic,BASE,BUY_STRENGTH_BAND20_R01,424,21,27,0,0,0.21244288660237137
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND00_R00,515,46,74,0,0,0.2648809178626618
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND00_R01,430,31,62,0,0,0.21338715189109078
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND20_R00,515,29,33,0,0,0.26668084189054303
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND20_R01,430,22,27,0,0,0.21553330181134236
