model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
BUY_STRENGTH_BAND00_R00,evaluation,BASE,51,22,29,207
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,64,22,42,209
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,34,14,20,116
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,STRESS,34,14,20,120
BUY_STRENGTH_BAND00_R01,evaluation,BASE,273,180,93,150
BUY_STRENGTH_BAND00_R01,evaluation,STRESS,277,180,97,151
BUY_STRENGTH_BAND00_R01,earlier_diagnostic,BASE,172,99,73,99
BUY_STRENGTH_BAND00_R01,earlier_diagnostic,STRESS,149,99,50,93
BUY_STRENGTH_BAND20_R00,evaluation,BASE,27,22,5,120
BUY_STRENGTH_BAND20_R00,evaluation,STRESS,27,22,5,120
BUY_STRENGTH_BAND20_R00,earlier_diagnostic,BASE,16,14,2,61
BUY_STRENGTH_BAND20_R00,earlier_diagnostic,STRESS,18,14,4,62
BUY_STRENGTH_BAND20_R01,evaluation,BASE,221,180,41,97
BUY_STRENGTH_BAND20_R01,evaluation,STRESS,221,180,41,97
BUY_STRENGTH_BAND20_R01,earlier_diagnostic,BASE,103,99,4,48
BUY_STRENGTH_BAND20_R01,earlier_diagnostic,STRESS,105,99,6,49
