model,period,cost,origin,source_target,normal_requested_quantity,own_shares,observed_daily_return,return_floor
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-01-16,0.8415716747322038,4900,35900,-0.0014450867052023808,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-03-30,0.024712127395519288,100,1300,-0.009189189189189206,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-08-18,0.3307380586957388,15700,0,-0.0014353085913471064,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-08-19,0.3272881125060397,15800,0,-0.015605749486653053,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-08-20,0.32493805634613737,15800,0,-0.010638297872340274,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2020-12-29,0.9731741361104365,800,43900,-0.003118908382066299,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-06-07,0.05932244181669258,2800,0,-0.001133144475920722,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-06-08,0.8580575209254394,42100,0,-0.00794100964265454,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-10-28,0.21149757031979297,11000,0,-0.004225352112676051,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-03,0.3268569473410919,6200,11000,-0.004070832485243314,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-10,0.5345215452362823,11000,17200,-0.0050844010575553655,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-18,0.8700459425673,100,45400,-0.008872756604153986,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-26,0.8706678127320502,100,45300,-0.008437123342707853,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-29,0.8706401298023811,100,45300,-0.0014181523500810256,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2021-11-30,0.8705688773591688,100,45300,-0.0036518563603166188,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-05-12,0.21906635721898626,14700,0,-0.0050365147318055525,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-08-15,0.899724103675073,100,58000,-0.00235017626321965,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-08-16,0.8996423353090116,100,58000,-0.002355712603062332,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-08-18,0.8996750592778006,100,58000,-0.008652946679139406,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-08-19,0.8994290874627224,100,58000,-0.007077140835102691,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-09-26,0.02462663035568628,100,1600,-0.006371049949031593,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2022-09-28,0.024607384357455155,100,1600,-0.01418080526715626,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2023-04-10,0.9951185972885825,1400,64200,-0.0036434296818070866,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2023-12-05,0.02455036781462594,100,1800,-0.018728717366628733,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-03-04,0.9995295131049335,78000,0,-0.0008498583569404028,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-06-17,0.6966798268601029,52800,1900,-0.002813731007315634,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-01,0.8136039645453262,64800,0,-0.007126567844925824,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-02,0.8081846810951653,65100,0,-0.01033591731266148,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-05,0.7677689223347528,62500,0,-0.011314186248912117,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-27,0.9993030505440356,82200,0,-0.005008839127872866,0.0
BUY_STRENGTH_BAND00_R00,evaluation,BASE,2024-08-28,0.9980138308383928,82500,0,-0.005922416345868986,0.0
