period,cost,model,actual_fills_checked
evaluation,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,91
evaluation,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,90
earlier_diagnostic,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,55
earlier_diagnostic,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,55
evaluation,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,89
evaluation,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,88
earlier_diagnostic,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,55
earlier_diagnostic,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,55
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,93
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,93
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,62
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,62
