period,cost,model,all_factor_rows,decision_origins,combined_target_max_error,saved_parent_close_targets_checked,parent_fee_dates_and_next_open_aligned,independent_three_fixed_direction_gates_and_unknown_equal
evaluation,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
evaluation,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
earlier_diagnostic,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
earlier_diagnostic,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
evaluation,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
evaluation,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
earlier_diagnostic,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
earlier_diagnostic,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,3456,1604,0.0,6416,True,True
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,1852,1219,0.0,4876,True,True
