period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,390,43,48,0,0,0.10654362270600506
evaluation,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,400,42,47,0,0,0.10997904090509282
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,429,45,48,0,0,0.12497308888484922
evaluation,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,390,43,47,0,0,0.10659548815746012
evaluation,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,400,42,46,0,0,0.11004345110211004
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,429,45,48,0,0,0.12498851594288354
earlier_diagnostic,BASE,DUAL_CONFIRMED_RUNS_AUXILIARY,395,30,25,0,0,0.17543347979308557
earlier_diagnostic,BASE,LAG_CONFIRMED_RUNS_AUXILIARY,396,30,25,0,0,0.17610800761759707
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,445,34,28,0,0,0.21607535727166452
earlier_diagnostic,STRESS,DUAL_CONFIRMED_RUNS_AUXILIARY,401,30,25,0,0,0.17914399887995572
earlier_diagnostic,STRESS,LAG_CONFIRMED_RUNS_AUXILIARY,402,30,25,0,0,0.17978660312486816
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,451,34,28,0,0,0.2197934192132591
