input,model,reason
0,BUY_HOLD,非标准完整四场景
1,BUY_HOLD,找不到指标相符的完整来源
3,M_ET_H20_EXPANDING,非标准完整四场景
4,M_ET_H20_ROLL756,非标准完整四场景
5,M_ET_H5_EXPANDING,非标准完整四场景
6,M_ET_H5_ROLL756,非标准完整四场景
7,M_HGB_H20_EXPANDING,非标准完整四场景
8,M_HGB_H20_ROLL756,非标准完整四场景
9,M_HGB_H5_EXPANDING,非标准完整四场景
10,M_HGB_H5_ROLL756,非标准完整四场景
11,M_RIDGE_H20_EXPANDING,非标准完整四场景
12,M_RIDGE_H20_ROLL756,非标准完整四场景
13,M_RIDGE_H5_EXPANDING,非标准完整四场景
14,M_RIDGE_H5_ROLL756,非标准完整四场景
15,P1_PRIMARY_TOP3_504,非标准完整四场景
16,P2_TOP1_504,非标准完整四场景
17,P3_TOP3_252,非标准完整四场景
18,P4_EQUAL_ALL,非标准完整四场景
19,R01_SMA60,非标准完整四场景
20,R02_SMA120,非标准完整四场景
21,R03_SMA200,非标准完整四场景
22,R04_MOM20,非标准完整四场景
23,R05_MOM60,非标准完整四场景
24,R06_MOM120,非标准完整四场景
25,R07_TREND_VOTE,非标准完整四场景
26,R08_BREAKOUT,非标准完整四场景
27,R09_RSI2,非标准完整四场景
28,R10_RSI2_TREND,非标准完整四场景
29,R11_REGIME,非标准完整四场景
30,R12_RISK_TREND,非标准完整四场景
31,C1_WEIGHTED_CONSENSUS,非标准完整四场景
32,C2_EQUAL_CONSENSUS,非标准完整四场景
33,C_ET_H20_EXPANDING_EQUAL,非标准完整四场景
34,C_ET_H20_EXPANDING_MAGNITUDE,非标准完整四场景
35,C_ET_H20_ROLL756_EQUAL,非标准完整四场景
36,C_ET_H20_ROLL756_MAGNITUDE,非标准完整四场景
37,C_ET_H5_EXPANDING_EQUAL,非标准完整四场景
38,C_ET_H5_EXPANDING_MAGNITUDE,非标准完整四场景
39,C_ET_H5_ROLL756_EQUAL,非标准完整四场景
40,C_ET_H5_ROLL756_MAGNITUDE,非标准完整四场景
41,C_HGB_H20_EXPANDING_EQUAL,非标准完整四场景
42,C_HGB_H20_EXPANDING_MAGNITUDE,非标准完整四场景
43,C_HGB_H20_ROLL756_EQUAL,非标准完整四场景
44,C_HGB_H20_ROLL756_MAGNITUDE,非标准完整四场景
45,C_HGB_H5_EXPANDING_EQUAL,非标准完整四场景
46,C_HGB_H5_EXPANDING_MAGNITUDE,非标准完整四场景
47,C_HGB_H5_ROLL756_EQUAL,非标准完整四场景
48,C_HGB_H5_ROLL756_MAGNITUDE,非标准完整四场景
49,C_LOGIT_H20_EXPANDING_EQUAL,非标准完整四场景
50,C_LOGIT_H20_EXPANDING_MAGNITUDE,非标准完整四场景
51,C_LOGIT_H20_ROLL756_EQUAL,非标准完整四场景
52,C_LOGIT_H20_ROLL756_MAGNITUDE,非标准完整四场景
53,C_LOGIT_H5_EXPANDING_EQUAL,非标准完整四场景
54,C_LOGIT_H5_EXPANDING_MAGNITUDE,非标准完整四场景
55,C_LOGIT_H5_ROLL756_EQUAL,非标准完整四场景
56,C_LOGIT_H5_ROLL756_MAGNITUDE,非标准完整四场景
57,D1_PRIMARY_EXTERNAL_H1,非标准完整四场景
58,D2_PRICE_H1,非标准完整四场景
59,D3_EXTERNAL_ALL,非标准完整四场景
60,D4_PRICE_ALL,非标准完整四场景
61,EXTERNAL__C_ET_H1_EXPANDING_MAGNITUDE,非标准完整四场景
62,EXTERNAL__C_ET_H20_EXPANDING_MAGNITUDE,非标准完整四场景
63,EXTERNAL__C_ET_H5_EXPANDING_MAGNITUDE,非标准完整四场景
64,EXTERNAL__C_LOGIT_H1_EXPANDING_MAGNITUDE,非标准完整四场景
65,EXTERNAL__C_LOGIT_H20_EXPANDING_MAGNITUDE,非标准完整四场景
66,EXTERNAL__C_LOGIT_H5_EXPANDING_MAGNITUDE,非标准完整四场景
67,PRICE__C_ET_H1_EXPANDING_MAGNITUDE,非标准完整四场景
68,PRICE__C_ET_H20_EXPANDING_MAGNITUDE,非标准完整四场景
69,PRICE__C_ET_H5_EXPANDING_MAGNITUDE,非标准完整四场景
70,PRICE__C_LOGIT_H1_EXPANDING_MAGNITUDE,非标准完整四场景
71,PRICE__C_LOGIT_H20_EXPANDING_MAGNITUDE,非标准完整四场景
72,PRICE__C_LOGIT_H5_EXPANDING_MAGNITUDE,非标准完整四场景
73,FULL_ET_H20,非标准完整四场景
74,FULL_ET_H60,非标准完整四场景
75,FULL_RIDGE_H20,非标准完整四场景
76,FULL_RIDGE_H60,非标准完整四场景
77,FUNDING_ET_H20,非标准完整四场景
78,FUNDING_ET_H60,非标准完整四场景
79,FUNDING_RIDGE_H20,非标准完整四场景
80,FUNDING_RIDGE_H60,非标准完整四场景
81,PRICE_ET_H20,非标准完整四场景
82,PRICE_ET_H60,非标准完整四场景
83,PRICE_RIDGE_H20,非标准完整四场景
84,PRICE_RIDGE_H60,非标准完整四场景
85,Q1_PRIMARY_FULL_H20,非标准完整四场景
86,Q2_FUNDING_H20,非标准完整四场景
87,Q3_PRICE_H20,非标准完整四场景
88,Q4_FULL_H60,非标准完整四场景
89,FULL_MEANVAR_EXPANDING,非标准完整四场景
90,FULL_MEANVAR_ROLL756,非标准完整四场景
91,FULL_SHARPE_EXPANDING,非标准完整四场景
92,FULL_SHARPE_ROLL756,非标准完整四场景
93,PRICE_MEANVAR_EXPANDING,非标准完整四场景
94,PRICE_MEANVAR_ROLL756,非标准完整四场景
95,PRICE_SHARPE_EXPANDING,非标准完整四场景
96,PRICE_SHARPE_ROLL756,非标准完整四场景
97,U1_PRIMARY_FULL_SHARPE,非标准完整四场景
98,U2_PRICE_SHARPE,非标准完整四场景
99,U3_FULL_MEANVAR,非标准完整四场景
100,U4_PRICE_MEANVAR,非标准完整四场景
101,CALENDAR_ET_H1,非标准完整四场景
102,CALENDAR_RIDGE_H1,非标准完整四场景
103,FULL_ET_H1,非标准完整四场景
104,FULL_RIDGE_H1,非标准完整四场景
105,K1_PRIMARY_MONTH_START3,非标准完整四场景
107,K3_QUARTER_START3,非标准完整四场景
108,K4_POST_LONG_BREAK3,非标准完整四场景
109,K5_EQUAL_EVENT_VOTE,非标准完整四场景
110,K6_CALENDAR_CONSENSUS,非标准完整四场景
111,K7_PRICE_CONSENSUS,非标准完整四场景
112,K8_FULL_CONSENSUS,非标准完整四场景
113,PRICE_ET_H1,非标准完整四场景
114,PRICE_RIDGE_H1,非标准完整四场景
115,ALL_ET_H20,非标准完整四场景
116,ALL_RIDGE_H20,非标准完整四场景
117,FUNDING_ET_H20,非标准完整四场景
118,FUNDING_RIDGE_H20,非标准完整四场景
119,PRICE_ET_H20,非标准完整四场景
120,PRICE_RIDGE_H20,非标准完整四场景
121,REGULAR_ET_H20,非标准完整四场景
122,REGULAR_RIDGE_H20,非标准完整四场景
123,SEVEN_ET_H20,非标准完整四场景
124,SEVEN_RIDGE_H20,非标准完整四场景
125,T1_PRIMARY_ALL,非标准完整四场景
126,T2_REGULAR_ALL_TENOR,非标准完整四场景
127,T3_SEVEN_DISCLOSURE,非标准完整四场景
128,T4_FUNDING,非标准完整四场景
129,T5_PRICE,非标准完整四场景
130,EARNINGS_ET_H20,非标准完整四场景
131,EARNINGS_ET_H60,非标准完整四场景
132,EARNINGS_RIDGE_H20,非标准完整四场景
133,EARNINGS_RIDGE_H60,非标准完整四场景
